transcription	class_a	class_b	median_a	median_b	evidence_advantage	uncertainty
ZL3b	FONTANA	SHORTHAND	1.247039	0.921503	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	FONTANA	SHORTHAND	1.239497	0.930485	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	FONTANA	EXTRACTION	1.247039	1.237889	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	FONTANA	EXTRACTION	1.239497	1.246870	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	FONTANA	NATURAL	1.247039	0.674952	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	FONTANA	NATURAL	1.239497	0.683933	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	FONTANA	SIMPLE_NULL	1.247039	1.110219	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	FONTANA	SIMPLE_NULL	1.239497	1.102676	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	SHORTHAND	EXTRACTION	0.921503	1.237889	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	SHORTHAND	EXTRACTION	0.930485	1.246870	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	SHORTHAND	NATURAL	0.921503	0.674952	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	SHORTHAND	NATURAL	0.930485	0.683933	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	SHORTHAND	SIMPLE_NULL	0.921503	1.110219	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	SHORTHAND	SIMPLE_NULL	0.930485	1.102676	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	EXTRACTION	NATURAL	1.237889	0.674952	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	EXTRACTION	NATURAL	1.246870	0.683933	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	EXTRACTION	SIMPLE_NULL	1.237889	1.110219	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	EXTRACTION	SIMPLE_NULL	1.246870	1.102676	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
ZL3b	NATURAL	SIMPLE_NULL	0.674952	1.110219	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
IT2a	NATURAL	SIMPLE_NULL	0.683933	1.102676	NO_CLEAR_ADVANTAGE	not meaningful: neither class passes multi-family support gate
