transcription	class	object_id	corpus	cosine_similarity	direction_agreement	magnitude_ratio	metric_n	target_aligned_but_overshoot	normalization
IT2a	SHORTHAND	BDD_combined	BDD	0.262481	0.666667	0.162682	3	false	frozen raw delta standardized by natural-control scale
IT2a	SHORTHAND	BDD_koeln-edd-c-119-06.xml	BDD	-0.124494	0.333333	0.266769	3	false	frozen raw delta standardized by natural-control scale
IT2a	SHORTHAND	BDD_koeln-edd-c-119-07.xml	BDD	0.766885	1.000000	0.194818	3	false	frozen raw delta standardized by natural-control scale
IT2a	SHORTHAND	BDD_koeln-edd-c-119-11.xml	BDD	0.416750	0.666667	0.148209	3	false	frozen raw delta standardized by natural-control scale
IT2a	SHORTHAND	BDD_koeln-edd-c-119-12.xml	BDD	0.269078	0.666667	0.289362	3	false	frozen raw delta standardized by natural-control scale
IT2a	SHORTHAND	BDD_koeln-edd-c-119-13.xml	BDD	-0.092243	0.666667	0.494329	3	false	frozen raw delta standardized by natural-control scale
ZL3b	SHORTHAND	BDD_combined	BDD	0.279072	0.666667	0.164141	3	false	frozen raw delta standardized by natural-control scale
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-06.xml	BDD	-0.106628	0.333333	0.269162	3	false	frozen raw delta standardized by natural-control scale
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-07.xml	BDD	0.770814	1.000000	0.196566	3	false	frozen raw delta standardized by natural-control scale
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-11.xml	BDD	0.433097	0.666667	0.149538	3	false	frozen raw delta standardized by natural-control scale
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-12.xml	BDD	0.286843	0.666667	0.291957	3	false	frozen raw delta standardized by natural-control scale
ZL3b	SHORTHAND	BDD_koeln-edd-c-119-13.xml	BDD	-0.074969	0.666667	0.498763	3	false	frozen raw delta standardized by natural-control scale
