artifact	old_sha256	new_sha256	change_class	verdict
G1V2_MODEL_REGISTRY.tsv	363eccca436b008fa752bf0a8f816d9c635f240ad233ce23cebe7321507ba2fe	363eccca436b008fa752bf0a8f816d9c635f240ad233ce23cebe7321507ba2fe	UNCHANGED	PASS
G1V2_CANDIDATE_REGISTRY.tsv	96b618ab324db77b8402081075241b275f8925c45cdab058ba741e4beed29b58	96b618ab324db77b8402081075241b275f8925c45cdab058ba741e4beed29b58	UNCHANGED	PASS
G1V2_RNG_DOMAIN_REGISTRY.tsv	e47c5a8c62dd8dee34441e4274c0d49d1a7ce4aab0360aff4751cb08b6394a43	e47c5a8c62dd8dee34441e4274c0d49d1a7ce4aab0360aff4751cb08b6394a43	UNCHANGED	PASS
G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	139656868c07129bcd03637c6cfc834c8394b8f48c20162a657e23250e9829c0	139656868c07129bcd03637c6cfc834c8394b8f48c20162a657e23250e9829c0	UNCHANGED	PASS
G1V2_STRUCTURAL_METRIC_REGISTRY.tsv	3d5b6e17fe1f80ee80d5563c02d476750399a2d30500c7240a776970fac055b2	3d5b6e17fe1f80ee80d5563c02d476750399a2d30500c7240a776970fac055b2	UNCHANGED	PASS
G1V2_COMPLEXITY_CONTRACT.tsv	5e52505d73bc739975ddab51fb5bd49ce55ecb63a3018866d18abf1a184c3e01	5e52505d73bc739975ddab51fb5bd49ce55ecb63a3018866d18abf1a184c3e01	UNCHANGED	PASS
G1V2_CONTROL_REGISTRY.tsv	261138beb57a4fd61f87d4c0d341ca97223dac76014739a3a4664266722312e6	261138beb57a4fd61f87d4c0d341ca97223dac76014739a3a4664266722312e6	UNCHANGED	PASS
G1V2_CORPUS_REGISTRY.tsv	db8b49d782f39fe0b5f3b0365d0023e5fc223d5306215be10b636a03123ced03	db8b49d782f39fe0b5f3b0365d0023e5fc223d5306215be10b636a03123ced03	UNCHANGED	PASS
G1V2_DAG_CONTRACT.json	58f11d4749362d25c39cef3224e358015b587e77a3078b0eba00f3d82be2b0e9	58f11d4749362d25c39cef3224e358015b587e77a3078b0eba00f3d82be2b0e9	UNCHANGED	PASS
G1V2_STATUS_REGISTRY.tsv -> G1V2_STATUS_REGISTRY_V2.tsv	66291566d17a4f18aec2f0a6a67ab7dc6108a162003b210ecbe810239453ae06	2f980d50b5b179f4d453788b1d562d4a1fb0a0fe9678a35bcdfcba639cf959d5	AUTHORIZED_STATUS_CORRECTION	PASS
G1V2_REACHABILITY_CONTRACT.tsv -> G1V2_REACHABILITY_CONTRACT_V2.tsv	f24ed36b316dad63f215b982ad878b984a2d0e425f92bb365220431a0482badd	3cc63c59bcce2269e5df94ba628a5f6bd169199e871a30f65e2d289fb5198b5c	AUTHORIZED_REACHABILITY_CORRECTION	PASS
