joint_class	block_index	block_len	position_in_block	absolute_position	scale_support_count	scale_support_fraction	mean_jump_strength	max_jump_strength	position_uncertainty	signature_token	signature_direction	signature_magnitude
1/1	0	4145	3945	3945	3	0.75	0.09383705063431708	0.09999999999999999	15	ar	decrease	0.02
1/1	0	4145	3992	3992	3	0.75	0.0933505698485766	0.10000000000000002	18.333333333333485	cho	decrease	0.02
1/1	0	4145	290	290	3	0.75	0.09129053096709586	0.09999999999999999	10	cheol	decrease	0.02
1/1	0	4145	788	788	3	0.75	0.09112863550087155	0.09999999999999999	11.666666666666629	cheor	increase	0.02
1/1	0	4145	3145	3145	3	0.75	0.09027104213978844	0.09999999999999999	20	chod	decrease	0.02
1/1	0	4145	2655	2655	3	0.75	0.09026116729877041	0.09999999999999999	15	okal	increase	0.04
1/1	0	4145	2698	2698	3	0.75	0.0900440023047053	0.09999999999999999	3.333333333333485	choltaiin	increase	0.02
1/1	0	4145	528	528	3	0.75	0.0899292491029913	0.09999999999999999	16.66666666666663	chor	decrease	0.020000000000000004
1/1	0	4145	210	210	3	0.75	0.08900337555028692	0.09999999999999999	10	daiin	decrease	0.039999999999999994
1/1	0	4145	3913	3913	3	0.75	0.08655244496939131	0.09245112497836533	33.333333333333485	dal	increase	0.020000000000000004
1/1	0	4145	1408	1408	3	0.75	0.08553345551835441	0.09999999999999999	11.666666666666742	chol	decrease	0.02
1/1	0	4145	3848	3848	3	0.75	0.08537995862284005	0.09999999999999999	18.333333333333485	chees	decrease	0.02
1/1	0	4145	3785	3785	3	0.75	0.08323904188123814	0.09245112497836531	15	dam	increase	0.04
1/1	0	4145	3197	3197	3	0.75	0.08062048662762271	0.09999999999999999	6.666666666666515	chodaiin	increase	0.02
1/1	0	4145	1187	1187	3	0.75	0.07949810021405918	0.09999999999999999	16.666666666666742	cheey	increase	0.02
1/1	0	4145	470	470	3	0.75	0.07427165134573567	0.08617914629863574	30	daiin	decrease	0.020000000000000004
1/1	0	4145	2273	2273	2	0.5	0.09595090076188177	0.09999999999999999	2.5	chdy	increase	0.02
1/1	0	4145	578	578	2	0.5	0.09581356989823134	0.09999999999999999	7.5	cheol	decrease	0.02
1/1	0	4145	1133	1133	2	0.5	0.09473123423544971	0.09999999999999999	2.5	chaies	decrease	0.02
1/1	0	4145	58	58	2	0.5	0.09447421256466956	0.09999999999999999	2.5	cthiar	decrease	0.02
1/1	0	4145	2490	2490	2	0.5	0.094338343733774	0.09999999999999999	10	aiin	decrease	0.02
1/1	0	4145	1225	1225	2	0.5	0.09433834373377399	0.09999999999999999	5	daiin	decrease	0.039999999999999994
1/1	0	4145	330	330	2	0.5	0.0940886800584993	0.09999999999999999	10	chodar	decrease	0.02
1/1	0	4145	2188	2188	2	0.5	0.0940886800584993	0.09999999999999999	12.5	chod	decrease	0.02
1/1	0	4145	2605	2605	2	0.5	0.09402410118609203	0.09999999999999999	5	chkchy	decrease	0.02
1/1	0	4145	1610	1610	2	0.5	0.09398407010858326	0.09999999999999999	10	c@134;hodoral	decrease	0.02
1/1	0	4145	1660	1660	2	0.5	0.09384587628987127	0.09999999999999999	10	daiin	increase	0.020000000000000004
1/1	0	4145	2575	2575	2	0.5	0.09348474275803388	0.09999999999999999	5	chcfhhy	decrease	0.02
1/1	0	4145	1368	1368	2	0.5	0.09286311756931664	0.09999999999999999	2.5	chaiin	increase	0.04
1/1	0	4145	4053	4053	2	0.5	0.09225594410275448	0.09999999999999999	17.5	daiin	increase	0.04000000000000001
1/1	0	4145	738	738	2	0.5	0.0917181872193375	0.09999999999999999	2.5	choaiin	increase	0.02
1/1	0	4145	163	163	2	0.5	0.0900157038507726	0.09999999999999999	2.5	daiin	increase	0.04
1/1	0	4145	645	645	2	0.5	0.08973157291458844	0.09999999999999999	5	char	decrease	0.02
1/1	0	4145	3325	3325	2	0.5	0.08785964580809286	0.09999999999999999	5	cthy	decrease	0.02
1/1	0	4145	2555	2555	2	0.5	0.0877147683552155	0.09245112497836533	5	chcthody	decrease	0.02
1/1	0	4145	2358	2358	2	0.5	0.08751404400787555	0.09999999999999999	2.5	chor	increase	0.04
1/1	0	4145	1060	1060	2	0.5	0.08742186150062287	0.09999999999999999	0	cthy	increase	0.02
1/1	0	4145	700	700	2	0.5	0.08729167166016327	0.09999999999999999	0	chor	decrease	0.02
1/1	0	4145	3093	3093	2	0.5	0.0860331655715859	0.08716408118644116	2.5	chaiin	increase	0.02
1/1	0	4145	968	968	2	0.5	0.08439716060849686	0.09145247027726656	12.5	cheoeees	decrease	0.02
1/1	0	4145	2785	2785	2	0.5	0.0829276964417239	0.09999999999999999	5	chckhy	increase	0.02
1/1	0	4145	2075	2075	2	0.5	0.08165990397925085	0.08622556248918266	15	cho	increase	0.02
1/1	0	4145	2865	2865	2	0.5	0.0807984889498247	0.09999999999999999	5	chcthy	decrease	0.02
1/1	0	4145	2740	2740	2	0.5	0.08071704761705506	0.09999999999999999	10	cheeor	increase	0.02
1/1	0	4145	2240	2240	2	0.5	0.0766003431835396	0.09999999999999999	0	daiin	increase	0.020000000000000004
1/1	0	4145	2395	2395	2	0.5	0.07571204047588799	0.09999999999999999	5	cheor	increase	0.02
1/1	0	4145	1550	1550	2	0.5	0.07185537027619941	0.0881773601169986	10	chear	decrease	0.02
1/1	0	4145	920	920	2	0.5	0.07122391161597133	0.07703392061970286	20	daiin	decrease	0.04000000000000001
1/1	0	4145	1795	1795	2	0.5	0.051927727544953485	0.06110050284753102	5	cholor	decrease	0.02
1/1	0	4145	130	130	1	0.25	0.09999999999999999	0.09999999999999999	0	chey	increase	0.02
1/1	0	4145	1030	1030	1	0.25	0.09999999999999999	0.09999999999999999	0	chocthhy	increase	0.02
1/1	0	4145	1690	1690	1	0.25	0.09999999999999999	0.09999999999999999	0	ar	decrease	0.02
1/1	0	4145	2135	2135	1	0.25	0.09999999999999999	0.09999999999999999	0	daiin	decrease	0.020000000000000004
1/1	0	4145	2420	2420	1	0.25	0.09999999999999999	0.09999999999999999	0	chy	decrease	0.04
1/1	0	4145	2920	2920	1	0.25	0.09999999999999999	0.09999999999999999	0	qokchy	increase	0.020000000000000004
1/1	0	4145	3055	3055	1	0.25	0.09999999999999999	0.09999999999999999	0	daiin	decrease	0.020000000000000004
1/1	0	4145	3275	3275	1	0.25	0.09999999999999999	0.09999999999999999	0	char	decrease	0.02
1/1	0	4145	3515	3515	1	0.25	0.09999999999999999	0.09999999999999999	0	daiin	decrease	0.04000000000000001
1/1	0	4145	3555	3555	1	0.25	0.09999999999999999	0.09999999999999999	0	daiin	decrease	0.020000000000000004
1/1	0	4145	3615	3615	1	0.25	0.09999999999999999	0.09999999999999999	0	dor	decrease	0.02
1/1	0	4145	620	620	1	0.25	0.09551701523880121	0.09551701523880121	0	chol	increase	0.02
1/1	0	4145	1975	1975	1	0.25	0.09430164685151106	0.09999999999999999	0	chor	decrease	0.02
1/1	0	4145	100	100	1	0.25	0.09174257772798387	0.09174257772798387	0	chodaiin	increase	0.02
1/1	0	4145	1100	1100	1	0.25	0.08817736011699863	0.08817736011699863	0	char	decrease	0.02
1/1	0	4145	3730	3730	1	0.25	0.08490224995673065	0.08490224995673065	0	qokchol	decrease	0.04
1/1	0	4145	2000	2000	1	0.25	0.0841937027063492	0.0841937027063492	0	chol	decrease	0.02
1/1	0	4145	1330	1330	1	0.25	0.08390359525563187	0.08390359525563187	0	c@132;ho	increase	0.02
1/1	0	4145	1770	1770	1	0.25	0.08357071035526564	0.09999999999999999	0	@135;odaiin	increase	0.02
1/1	0	4145	3380	3380	1	0.25	0.08012915774481454	0.09999999999999999	0	chotchy	increase	0.02
1/1	0	4145	240	240	1	0.25	0.07862934427530989	0.07862934427530989	0	cheol	increase	0.02
1/1	0	4145	1460	1460	1	0.25	0.07821780389244123	0.07821780389244123	0	chaiin	increase	0.02
1/1	0	4145	2955	2955	1	0.25	0.07796814021716651	0.09999999999999999	0	daiin	increase	0.020000000000000004
1/1	0	4145	2760	2760	1	0.25	0.07732775161831243	0.07857893742427866	0	chol	decrease	0.020000000000000004
1/1	0	4145	3240	3240	1	0.25	0.07730307234268807	0.07730307234268807	0	chol	decrease	0.04
1/1	0	4145	820	820	1	0.25	0.07245112497836532	0.07245112497836532	0	chan	increase	0.02
1/1	0	4145	2900	2900	1	0.25	0.06599078353806044	0.06599078353806044	0	qokchy	decrease	0.020000000000000004
1/1	0	4145	1890	1890	1	0.25	0.06441692995701893	0.06441692995701893	0	daiin	decrease	0.020000000000000018
1/1	0	4145	2460	2460	1	0.25	0.0633219616342746	0.0633219616342746	0	chor	decrease	0.02
1/1	0	4145	3650	3650	1	0.25	0.05981280328513877	0.06036501688647554	0	chkoldy	decrease	0.02
1/1	0	4145	3015	3015	1	0.25	0.05670074649101642	0.07635472023399721	0	daiin	decrease	0.020000000000000004
1/1	1	612	238	4566	3	0.75	0.07348263921617801	0.08728013599658334	21.666666666666657	chkaiin	increase	0.02
1/1	1	612	383	4711	2	0.5	0.09748370832612178	0.09999999999999999	2.5	chetchy	decrease	0.02
1/1	1	612	465	4793	2	0.5	0.09433834373377399	0.09999999999999999	5	cheoldain	increase	0.02
1/1	1	612	535	4863	2	0.5	0.09383901638322462	0.10000000000000002	5	chory	increase	0.02
1/1	1	612	435	4763	2	0.5	0.0932699025184323	0.09999999999999999	5	chey	increase	0.02
1/1	1	612	113	4441	2	0.5	0.08297700064096067	0.09999999999999999	2.5	cheokeey	decrease	0.02
1/1	1	612	320	4648	2	0.5	0.06763347851246605	0.07614550033416512	20	cheecthy	decrease	0.02
1/1	1	612	575	4903	1	0.25	0.09999999999999999	0.09999999999999999	0	cheolsos	increase	0.02
1/1	1	612	515	4843	1	0.25	0.09999999999999998	0.09999999999999998	0	cheoldain	decrease	0.02
1/1	1	612	60	4388	1	0.25	0.07493762573323427	0.07493762573323427	0	c@148;har	decrease	0.02
1/1	2	165	53	5206	2	1	0.08657923491966515	0.09245112497836531	7.5	choddal	decrease	0.02
1/1	2	165	105	5258	1	0.5	0.07574760356429923	0.09245112497836531	0	dain	increase	0.020000000000000004
1/1	3	603	177	5949	3	0.75	0.08530774086562744	0.09999999999999999	16.666666666666657	daiin	increase	0.020000000000000004
1/1	3	603	280	6052	3	0.75	0.07316757148059773	0.09999999999999999	20	chol	decrease	0.02
1/1	3	603	85	5857	2	0.5	0.08989702762682447	0.09245112497836531	5	aldy	decrease	0.02
1/1	3	603	408	6180	2	0.5	0.08930293538801855	0.09999999999999999	2.5	daiin	increase	0.04000000000000001
1/1	3	603	120	5892	2	0.5	0.08617319400353007	0.09999999999999999	10	ar	decrease	0.02
1/1	3	603	483	6255	2	0.5	0.08361649056702052	0.09999999999999999	12.5	chokokor	increase	0.02
1/1	3	603	428	6200	2	0.5	0.08079351071270788	0.09245112497836531	7.5	chor	increase	0.02
1/1	3	603	218	5990	2	0.5	0.07959846315535281	0.09245112497836531	2.5	chaiin	increase	0.02
1/1	3	603	348	6120	2	0.5	0.06963093682296141	0.09245112497836531	7.5	daiin	increase	0.020000000000000004
1/1	3	603	65	5837	1	0.25	0.09101959316879553	0.09145247027726656	0	chear	decrease	0.02
1/1	3	603	250	6022	1	0.25	0.08307961007372924	0.08307961007372924	0	chytaroiin	decrease	0.02
1/1	3	603	525	6297	1	0.25	0.07975033632472532	0.09245112497836531	0	otaiin	decrease	0.039999999999999994
1/1	4	257	113	7162	3	1	0.0888883597176157	0.09999999999999999	13.333333333333329	chaiin	increase	0.02
1/1	4	257	155	7204	2	0.6666666666666666	0.09788847521448751	0.09999999999999999	5	ary	increase	0.02
1/1	4	257	65	7114	2	0.6666666666666666	0.09587128886399193	0.09999999999999999	5	ctho	decrease	0.02
1/1	4	257	210	7259	1	0.3333333333333333	0.09999999999999999	0.09999999999999999	0	cheotchar	decrease	0.02
1/1	5	348	172	7782	3	1	0.07768544874705237	0.08390359525563187	11.666666666666657	chaiin	increase	0.02
