scheme	class	window_size	method	k	allowed_k_max	windows	silhouette	medoid_separation	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction	cluster_sizes	diagnostic_only
joint	1/1	50	k_medoids	2	10	1391	0.015006375385290214	0.7449022499567309	0.8261277383209479	0.8388043106804672	0.6928305902131761	0.4874191229331416	713,678	false
joint	1/1	50	k_medoids	3	10	1391	0.01137028265948214	0.7410313850942972	0.8226947982099653	0.8388689605206168	1.013307988536972	0.15240833932422718	619,560,212	false
joint	1/1	50	k_medoids	4	10	1391	0.011731199717290395	0.7517356342055369	0.8192423295920201	0.8402972743870113	1.2301792130990838	0.06757728253055356	512,527,258,94	false
joint	1/1	50	k_medoids	5	10	1391	0.009749109059780737	0.7532662804562302	0.8155431647538741	0.8373802549357907	1.4872419964016195	0.035945363048166784	338,287,50,345,371	false
joint	1/1	50	k_medoids	6	10	1391	0.007502127754141992	0.7982050642777444	0.813874081614554	0.8378711406317452	1.6274672094764484	0.020129403306973402	370,191,173,28,257,372	false
joint	1/1	50	k_medoids	7	10	1391	0.015223844367980736	0.8775166428118136	0.8078941498113167	0.840545565791941	1.5881109406805756	0.017253774263120056	420,24,42,40,396,180,289	false
joint	1/1	50	k_medoids	8	10	1391	0.019184194805024354	0.8547334551943434	0.8054310044000323	0.8424384927795325	1.5636851189717762	0.010783608914450037	230,568,269,15,222,37,26,24	false
joint	1/1	50	k_medoids	9	10	1391	0.02014665426280471	0.8679718105506161	0.8030759150574812	0.8441285552838528	1.7009480662394507	0.010783608914450037	538,33,15,27,262,218,200,51,47	false
joint	1/1	50	k_medoids	10	10	1391	0.012793552820404697	0.9029220320938584	0.804001177488568	0.8496847197847596	1.6469175061252326	0.01653486700215672	691,51,24,86,70,118,247,23,56,25	false
joint	1/1	50	hierarchical	2	10	1391	0.020030033095524598	0.7563547202339977	0.8302123544369987	0.8475154568733089	0.11219795327965505	0.02372393961179008	1358,33	false
joint	1/1	50	hierarchical	3	10	1391	0.021188180194439292	0.8140318335272644	0.8261160839802747	0.8631378578385372	0.33216938076685576	0.023005032350826744	1277,32,82	false
joint	1/1	50	hierarchical	4	10	1391	0.021232357192899346	0.8565748125861484	0.8254217434141639	0.8651189409548298	0.3970940985046252	0.012221423436376708	1260,32,17,82	false
joint	1/1	50	hierarchical	5	10	1391	0.004169555602844244	0.8508834935630689	0.8254509573085163	0.8649913136736986	0.4272466300478941	0.010783608914450037	1259,32,17,68,15	false
joint	1/1	50	hierarchical	6	10	1391	0.009312175525380058	0.8518427187228704	0.8246774373762316	0.8671006410106279	0.45628570119046447	0.007189072609633357	1253,32,16,68,10,12	false
joint	1/1	50	hierarchical	7	10	1391	0.0024540616199011777	0.8684480907133341	0.8237500310025317	0.8670707688184789	0.484554122307934	0.007189072609633357	1249,17,19,16,68,10,12	false
joint	1/1	50	hierarchical	8	10	1391	0.0005274261698341603	0.8559295780805628	0.8202641813473971	0.8563771285661098	0.7262128959939035	0.007189072609633357	1154,17,18,17,95,68,10,12	false
joint	1/1	50	hierarchical	9	10	1391	0.003217955254923057	0.8634344410189024	0.8197148730573849	0.8571327544324718	0.771950865934624	0.007189072609633357	1144,17,14,18,16,93,67,10,12	false
joint	1/1	50	hierarchical	10	10	1391	-0.0002613226750614749	0.8622691193220453	0.8154617575704138	0.85703368590567	0.8058705936681408	0.007189072609633357	1149,17,14,18,16,37,51,67,10,12	false
joint	1/1	100	k_medoids	2	10	648	0.08569653471245006	0.8530796100737298	0.7460700529478665	0.8169218434567294	0.1732052067491771	0.041666666666666664	621,27	false
joint	1/1	100	k_medoids	3	10	648	0.0263469194774492	0.745344061934678	0.7370187947762719	0.7696529947882741	0.9575255793385977	0.14351851851851852	369,93,186	false
joint	1/1	100	k_medoids	4	10	648	0.012087985677727241	0.6765230054478589	0.7369028101153813	0.7612948165837173	1.291449733046876	0.1419753086419753	280,113,92,163	false
joint	1/1	100	k_medoids	5	10	648	0.01805814731222911	0.7431666790380641	0.7289484780583502	0.761351428651884	1.4869003552010212	0.040123456790123455	198,26,138,135,151	false
