currier	hand	scheme	joint_class	total_tokens	block_count	largest_block	median_block	eligible
1	1	joint	1/1	7423	10	4145	315.5	true
2	2	joint	2/2	9318	9	6957	274	true
2	5	joint	2/5	467	3	217	163	false
3	2	joint	3/2	1855	2	1352	927.5	true
3	4	joint	3/4	540	1	540	540	false
4	1	joint	4/1	870	3	489	241	false
5	3	joint	5/3	535	1	535	535	false
X	3	joint	X/3	2787	2	1911	1393.5	true
Y	3	joint	Y/3	778	1	778	778	false
1		currier_only	1	7423	10	4145	315.5	true
2		currier_only	2	9785	11	6957	229	true
3		currier_only	3	2395	1	2395	2395	true
4		currier_only	4	870	3	489	241	false
5		currier_only	5	535	1	535	535	false
X		currier_only	X	2787	2	1911	1393.5	true
Y		currier_only	Y	778	1	778	778	false
	1	hand_only	1	11065	13	4145	348	true
	2	hand_only	2	11302	11	7460	274	true
	3	hand_only	3	12102	4	9469	1049	true
	4	hand_only	4	3628	2	3088	1814	true
	5	hand_only	5	929	4	462	190	false
