block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
1/1#0	2/2#0	5	1	1	0.2	0.4714080649	1
1/1#0	1/1#1	5	0	0	0	0	0
1/1#0	2/2#1	5	1	1	0.2	0.4714080649	1
1/1#0	1/1#2	5	0	0	0	0	0
1/1#0	2/2#2	5	0	0	0	0	0
1/1#0	1/1#3	5	0	0	0	0	0
1/1#0	2/2#3	5	0	0	0	0	0
1/1#0	2/5#0	5	0	0	0	0	0
1/1#0	1/1#4	5	0	0	0	0	0
1/1#0	2/2#4	5	0	0	0	0	0
1/1#0	1/1#5	5	0	0	0	0	0
1/1#0	2/2#5	5	0	0	0	0	0
1/1#0	1/1#6	5	0	0	0	0	0
1/1#0	2/5#1	5	0	0	0	0	0
1/1#0	1/1#7	5	0	0	0	0	0
1/1#0	2/2#6	5	0	0	0	0	0
1/1#0	1/1#8	5	2	2	0.4	0.6650997387	0
1/1#0	2/2#7	5	0	0	0	0	0
1/1#0	1/1#9	5	0	0	0	0	0
1/1#0	2/5#2	5	0	0	0	0	0
1/1#0	2/2#8	5	7	5	0.7142857143	0.8296095308	0
1/1#0	3/2#0	5	0	0	0	0	0
1/1#0	3/4#0	5	1	1	0.2	0.467431802	1
1/1#0	3/2#1	5	2	1	0.1666666667	0.3255076368	0
1/1#0	4/1#0	5	1	1	0.2	0.4714080649	0
1/1#0	4/1#1	5	1	1	0.2	0.4714080649	0
1/1#0	5/3#0	5	0	0	0	0	0
1/1#0	4/1#2	5	0	0	0	0	0
1/1#0	X/3#0	5	6	4	0.5714285714	0.7656050669	0
1/1#0	Y/3#0	5	2	2	0.4	0.6622828457	0
1/1#0	X/3#1	5	2	1	0.1666666667	0.3255076368	0
2/2#0	1/1#1	1	0	0	0	0	0
2/2#0	2/2#1	1	1	1	1	1	1
2/2#0	1/1#2	1	0	0	0	0	0
2/2#0	2/2#2	1	0	0	0	0	0
2/2#0	1/1#3	1	0	0	0	0	0
2/2#0	2/2#3	1	0	0	0	0	0
2/2#0	2/5#0	1	0	0	0	0	0
2/2#0	1/1#4	1	0	0	0	0	0
2/2#0	2/2#4	1	0	0	0	0	0
2/2#0	1/1#5	1	0	0	0	0	0
2/2#0	2/2#5	1	0	0	0	0	0
2/2#0	1/1#6	1	0	0	0	0	0
2/2#0	2/5#1	1	0	0	0	0	0
2/2#0	1/1#7	1	0	0	0	0	0
2/2#0	2/2#6	1	0	0	0	0	0
2/2#0	1/1#8	1	2	1	0.5	0.7057887804	0
2/2#0	2/2#7	1	0	0	0	0	0
2/2#0	1/1#9	1	0	0	0	0	0
2/2#0	2/5#2	1	0	0	0	0	0
2/2#0	2/2#8	1	7	1	0.1428571429	0.3922449716	0
2/2#0	3/2#0	1	0	0	0	0	0
2/2#0	3/4#0	1	1	0	0	-0.003724394786	0
2/2#0	3/2#1	1	2	0	0	-0.005276925461	0
2/2#0	4/1#0	1	1	1	1	1	1
2/2#0	4/1#1	1	1	1	1	1	1
2/2#0	5/3#0	1	0	0	0	0	0
2/2#0	4/1#2	1	0	0	0	0	0
2/2#0	X/3#0	1	6	1	0.1666666667	0.4044292328	1
2/2#0	Y/3#0	1	2	0	0	-0.005276925461	0
2/2#0	X/3#1	1	2	0	0	-0.005276925461	0
1/1#1	2/2#1	0	1	0	0	0	0
1/1#1	1/1#2	0	0	0	0	0	0
1/1#1	2/2#2	0	0	0	0	0	0
1/1#1	1/1#3	0	0	0	0	0	0
1/1#1	2/2#3	0	0	0	0	0	0
1/1#1	2/5#0	0	0	0	0	0	0
1/1#1	1/1#4	0	0	0	0	0	0
1/1#1	2/2#4	0	0	0	0	0	0
1/1#1	1/1#5	0	0	0	0	0	0
1/1#1	2/2#5	0	0	0	0	0	0
1/1#1	1/1#6	0	0	0	0	0	0
1/1#1	2/5#1	0	0	0	0	0	0
1/1#1	1/1#7	0	0	0	0	0	0
1/1#1	2/2#6	0	0	0	0	0	0
1/1#1	1/1#8	0	2	0	0	0	0
1/1#1	2/2#7	0	0	0	0	0	0
1/1#1	1/1#9	0	0	0	0	0	0
1/1#1	2/5#2	0	0	0	0	0	0
1/1#1	2/2#8	0	7	0	0	0	0
1/1#1	3/2#0	0	0	0	0	0	0
1/1#1	3/4#0	0	1	0	0	0	0
1/1#1	3/2#1	0	2	0	0	0	0
1/1#1	4/1#0	0	1	0	0	0	0
1/1#1	4/1#1	0	1	0	0	0	0
1/1#1	5/3#0	0	0	0	0	0	0
1/1#1	4/1#2	0	0	0	0	0	0
1/1#1	X/3#0	0	6	0	0	0	0
1/1#1	Y/3#0	0	2	0	0	0	0
1/1#1	X/3#1	0	2	0	0	0	0
2/2#1	1/1#2	1	0	0	0	0	0
2/2#1	2/2#2	1	0	0	0	0	0
2/2#1	1/1#3	1	0	0	0	0	0
2/2#1	2/2#3	1	0	0	0	0	0
2/2#1	2/5#0	1	0	0	0	0	0
2/2#1	1/1#4	1	0	0	0	0	0
