dimension	group_a	group_b	common_edges	edge_sign_agreement	effect_correlation	profile_similarity
currier	1	2	3082	0.6940298507	0.225277388	0.612638694
currier	1	3	1920	0.6947916667	0.358943542	0.679471771
currier	1	4	820	0.7304878049	0.5666053578	0.7833026789
currier	1	5	1086	0.6372007366	0.3400635825	0.6700317912
currier	1	X	2366	0.6546914624	0.2115451557	0.6057725778
currier	1	Y	1098	0.6812386157	0.2756319392	0.6378159696
currier	2	3	2898	0.7387853692	0.5545346256	0.7772673128
currier	2	4	719	0.685674548	0.3538033188	0.6769016594
currier	2	5	1504	0.710106383	0.6260847721	0.813042386
currier	2	X	4029	0.7689252916	0.6231152941	0.811557647
currier	2	Y	1433	0.724354501	0.4528886809	0.7264443405
currier	3	4	598	0.6622073579	0.3941631758	0.6970815879
currier	3	5	1270	0.7196850394	0.6714973509	0.8357486754
currier	3	X	2680	0.7447761194	0.6112002474	0.8056001237
currier	3	Y	1174	0.7742759796	0.6175428115	0.8087714057
currier	4	5	386	0.6088082902	0.3115058296	0.6557529148
currier	4	X	634	0.6482649842	0.3398530729	0.6699265364
currier	4	Y	386	0.670984456	0.3301001655	0.6650500827
currier	5	X	1504	0.710106383	0.6308605965	0.8154302982
currier	5	Y	966	0.6418219462	0.4762403778	0.7381201889
currier	X	Y	1401	0.7401855817	0.5406991375	0.7703495688
hand	1	2	3218	0.7022995649	0.2736230776	0.6368115388
hand	1	3	2458	0.6729048007	0.2466772919	0.6233386459
hand	1	4	557	0.6122082585	0.2222074009	0.6111037005
hand	1	5	84	0.6904761905	0.2791213137	0.6395606568
hand	2	3	4113	0.7982008266	0.6888496365	0.8444248182
hand	2	4	863	0.6917728853	0.4114555965	0.7057277982
hand	2	5	168	0.6607142857	0.4550191141	0.7275095571
hand	3	4	808	0.6732673267	0.3929903032	0.6964951516
hand	3	5	168	0.6904761905	0.434560715	0.7172803575
hand	4	5	0	0	0	0.5
joint	1/1	2/2	3082	0.6917585983	0.2248845329	0.6124422665
joint	1/1	2/5	84	0.6904761905	0.2791213137	0.6395606568
joint	1/1	3/2	1821	0.6979681494	0.3712795012	0.6856397506
joint	1/1	3/4	557	0.6193895871	0.228887627	0.6144438135
joint	1/1	4/1	820	0.7304878049	0.5666053578	0.7833026789
joint	1/1	5/3	1086	0.6372007366	0.3400635825	0.6700317912
joint	1/1	X/3	2366	0.6546914624	0.2115451557	0.6057725778
joint	1/1	Y/3	1098	0.6812386157	0.2756319392	0.6378159696
joint	2/2	2/5	168	0.6666666667	0.4873424441	0.7436712221
joint	2/2	3/2	2706	0.7402069475	0.5861197905	0.7930598953
joint	2/2	3/4	834	0.6798561151	0.3614722436	0.6807361218
joint	2/2	4/1	719	0.685674548	0.3538033188	0.6769016594
joint	2/2	5/3	1504	0.7094414894	0.6319899349	0.8159949675
joint	2/2	X/3	4029	0.7706626955	0.627905878	0.813952939
joint	2/2	Y/3	1433	0.7229588276	0.4529932008	0.7264966004
joint	2/5	3/2	84	0.6428571429	0.3757124162	0.6878562081
joint	2/5	3/4	0	0	0	0.5
joint	2/5	4/1	0	0	0	0.5
joint	2/5	5/3	84	0.6785714286	0.5045638677	0.7522819338
joint	2/5	X/3	168	0.619047619	0.3534060424	0.6767030212
joint	2/5	Y/3	84	0.6666666667	0.3372626022	0.6686313011
joint	3/2	3/4	671	0.6587183308	0.441395069	0.7206975345
joint	3/2	4/1	598	0.6655518395	0.4265635164	0.7132817582
joint	3/2	5/3	1224	0.7099673203	0.6896553514	0.8448276757
joint	3/2	X/3	2543	0.7514746363	0.6405853218	0.8202926609
joint	3/2	Y/3	1136	0.7711267606	0.6203561929	0.8101780965
joint	3/4	4/1	202	0.5396039604	0.1538692519	0.5769346259
joint	3/4	5/3	490	0.6489795918	0.4242126352	0.7121063176
joint	3/4	X/3	779	0.6251604621	0.3164584808	0.6582292404
joint	3/4	Y/3	603	0.6733001658	0.4679093499	0.733954675
joint	4/1	5/3	386	0.6088082902	0.3115058296	0.6557529148
joint	4/1	X/3	634	0.6482649842	0.3398530729	0.6699265364
joint	4/1	Y/3	386	0.670984456	0.3301001655	0.6650500827
joint	5/3	X/3	1504	0.710106383	0.6308605965	0.8154302982
joint	5/3	Y/3	966	0.6418219462	0.4762403778	0.7381201889
joint	X/3	Y/3	1401	0.7401855817	0.5406991375	0.7703495688
