source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
a	kain	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
a	r	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
aiiin	al	depleted	1000	0.996003996	1	1	0.7425491295	EXPECTED_FROM_NULL
aiiin	chckhedy	preferred	10000	0.005199480052	0.2150694022	1	0.3887602861	EXPECTED_FROM_NULL
aiiin	chedy	depleted	1000	0.957042957	1	1	0.3463892344	EXPECTED_FROM_NULL
aiiin	chol	preferred	1000	0.05694305694	0.2523612751	1	0.4875737697	EXPECTED_FROM_NULL
aiiin	d	preferred	1000	1	1	0	0.6109073072	EXPECTED_FROM_NULL
aiiin	daly	preferred	1000	1	1	0	0.4813361036	EXPECTED_FROM_NULL
aiiin	lchedy	preferred	1000	1	1	0	0.5012747646	EXPECTED_FROM_NULL
aiiin	o	depleted	1000	0.973026973	1	0	0.5170554611	EXPECTED_FROM_NULL
aiiin	okal	depleted	1000	0.959040959	1	0	0.4684410576	EXPECTED_FROM_NULL
aiiin	ol	depleted	1000	0.7702297702	1	0.5	0.5387083208	EXPECTED_FROM_NULL
aiiin	olkam	preferred	1000	1	1	1	0.4245752377	EXPECTED_FROM_NULL
aiiin	oteey	depleted	1000	0.969030969	1	0	0.4013435347	EXPECTED_FROM_NULL
aiiin	qokaiin	depleted	1000	1	1	0.5	0.7112319281	EXPECTED_FROM_NULL
aiiin	saiin	depleted	1000	0.9480519481	1	0	0.4890940033	EXPECTED_FROM_NULL
aiiin	shcthy	preferred	1000	1	1	1	0.4222785545	EXPECTED_FROM_NULL
aiiin	shey	depleted	1000	0.9270729271	1	1	0.4822807605	EXPECTED_FROM_NULL
aiiin	ykedy	preferred	10000	0.01079892011	0.2241594022	1	0.6518646251	EXPECTED_FROM_NULL
aiin	aiir	preferred	1000	0.1478521479	0.3594268599	1	0.1848003153	EXPECTED_FROM_NULL
aiin	al	depleted	1000	0.962037962	1	0.25	0.1363048219	EXPECTED_FROM_NULL
aiin	aly	preferred	1000	0.08191808192	0.279196459	1	0.1455460421	EXPECTED_FROM_NULL
aiin	ar	depleted	1000	0.1628371628	1	0.5	0.09891592979	EXPECTED_FROM_NULL
aiin	arody	preferred	1000	0.1118881119	0.3145772868	1	0.1629570415	EXPECTED_FROM_NULL
aiin	chaiin	preferred	1000	1	1	1	0.1727745208	EXPECTED_FROM_NULL
aiin	char	preferred	1000	1	1	0.3333333333	0.1135946752	EXPECTED_FROM_NULL
aiin	chckhy	depleted	1000	0.4945054945	1	1	0.1207042539	EXPECTED_FROM_NULL
aiin	chcthy	preferred	1000	0.1418581419	0.352386467	0.5	0.1193318344	EXPECTED_FROM_NULL
aiin	chdy	depleted	1000	0.5234765235	1	1	0.1298217562	EXPECTED_FROM_NULL
aiin	chear	preferred	1000	1	1	1	0.1109867353	EXPECTED_FROM_NULL
aiin	chedain	preferred	1000	0.06293706294	0.2603305785	1	0.1512552743	EXPECTED_FROM_NULL
aiin	chedy	depleted	1000	0.2147852148	1	0.5	0.09456725017	EXPECTED_FROM_NULL
aiin	cheedy	preferred	1000	0.1748251748	0.3980589886	0.5	0.1886483292	EXPECTED_FROM_NULL
aiin	chees	preferred	1000	0.1918081918	0.4229695991	1	0.1440731249	EXPECTED_FROM_NULL
aiin	chekal	preferred	1000	0.06693306693	0.2670846395	1	0.1452292992	EXPECTED_FROM_NULL
aiin	cheky	preferred	1000	0.2007992008	0.4350649351	1	0.1130642739	EXPECTED_FROM_NULL
aiin	cheo	preferred	1000	0.07092907093	0.2670846395	1	0.1260823566	EXPECTED_FROM_NULL
aiin	cheody	preferred	1000	1	1	1	0.1912931607	EXPECTED_FROM_NULL
aiin	cheol	depleted	1000	0.8441558442	1	1	0.158380541	EXPECTED_FROM_NULL
aiin	ches	preferred	1000	0.2057942058	0.4392636293	1	0.1608250696	EXPECTED_FROM_NULL
aiin	chey	depleted	1000	0.957042957	1	0.2857142857	0.09245378356	EXPECTED_FROM_NULL
aiin	chky	preferred	1000	1	1	1	0.1534708599	EXPECTED_FROM_NULL
aiin	chodaiin	preferred	1000	1	1	1	0.2234182952	EXPECTED_FROM_NULL
aiin	chody	depleted	1000	0.988011988	1	0.3333333333	0.2513421559	EXPECTED_FROM_NULL
aiin	chol	depleted	1000	0.7692307692	1	0.5	0.131760447	EXPECTED_FROM_NULL
aiin	chor	preferred	1000	0.2177822178	0.4569911257	0.5	0.1974097405	EXPECTED_FROM_NULL
aiin	cphey	preferred	1000	1	1	1	0.1051978002	EXPECTED_FROM_NULL
aiin	cthar	preferred	1000	1	1	0	0.109960622	EXPECTED_FROM_NULL
aiin	cthy	preferred	1000	1	1	1	0.1210471682	EXPECTED_FROM_NULL
aiin	d	preferred	1000	0.1088911089	0.309015309	0.5	0.1341630272	EXPECTED_FROM_NULL
