token	direction	global_count	eligible_blocks	joint_classes	pairwise_js_mean	pairwise_js_median	pairwise_js_min	pairwise_js_sd	lobo_median_correlation	lobo_mean_correlation	lobo_median_spearman	sign_agreement	permutation_p	sign_permutation_p	entropy_effect	entropy_sign_consistency	entropy_permutation_p	entropy_status	replicated
aiiin	outgoing	47	3	3	0.9954058879	0.9958686178	0.9938032901	0.001428589719	0.4361571924	0.4596156099	0.3679536167	0.8268398268	0.8141858142	0.4975024975	0.7053344982	1	0.08991008991	INSUFFICIENT_SUPPORT	false
aiin	outgoing	504	18	8	0.9861130267	0.9878363447	0.9658522712	0.006980665856	0.5017709678	0.5201825668	0.3729536901	0.8251906823	0.8171828172	0.01998001998	0.5022193366	1	0.8791208791	INSUFFICIENT_SUPPORT	false
aiir	outgoing	29	1	1	0	0	1	0	0	0	0	0.1781076067	0.000999000999	0.000999000999	0.549845844	1	0.000999000999	INSUFFICIENT_SUPPORT	false
ain	outgoing	113	2	2	0.9874318943	0.9874318943	0.9874318943	0	0.5787889383	0.5787889383	0.5236901747	0.8701298701	0.000999000999	0.000999000999	0.9164958149	1	0.000999000999	INSUFFICIENT_SUPPORT	false
air	outgoing	84	2	2	0.9938032901	0.9938032901	0.9938032901	0	0.3984690635	0.3984690635	0.3086088646	0.7996289425	0.000999000999	0.000999000999	0.6460292282	1	0.000999000999	INSUFFICIENT_SUPPORT	false
al	outgoing	261	6	5	0.9885734158	0.9892616973	0.9834287043	0.003263253357	0.5885909715	0.5501225902	0.5017682172	0.843537415	0.5594405594	0.5254745255	0.6110088061	1	0.97002997	INSUFFICIENT_SUPPORT	false
aly	outgoing	26	1	1	0	0	1	0	0	0	0	0.1892393321	0.000999000999	0.000999000999	1.12364286	1	0.000999000999	INSUFFICIENT_SUPPORT	false
am	outgoing	86	1	1	0	0	1	0	0	0	0	0.1948051948	0.000999000999	0.000999000999	0.7008913334	1	0.000999000999	INSUFFICIENT_SUPPORT	false
ar	outgoing	403	13	6	0.9877328791	0.9892320304	0.9759561153	0.004837026874	0.5507105887	0.5225517251	0.4079935774	0.8231768232	0.985014985	0.9470529471	0.5186234011	1	0.7782217782	INSUFFICIENT_SUPPORT	false
chaiin	outgoing	48	2	1	0.9915766776	0.9915766776	0.9915766776	0	0.678760174	0.678760174	0.632172275	0.8868274583	0.000999000999	0.000999000999	0.876007578	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chal	outgoing	48	2	2	0.9951982951	0.9951982951	0.9951982951	0	0.05192393886	0.05192393886	-0.0005312416851	0.7699443414	0.000999000999	0.000999000999	1.095574903	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chan	outgoing	12	1	1	0	0	1	0	0	0	0	0.1558441558	0.000999000999	0.000999000999	1.058067262	1	0.000999000999	INSUFFICIENT_SUPPORT	false
char	outgoing	84	4	3	0.9910988581	0.9908839154	0.9865293157	0.003173200304	0.5056287099	0.4294801764	0.4054841273	0.8413729128	0.9270729271	0.8091908092	0.8927137722	1	0.7822177822	INSUFFICIENT_SUPPORT	false
chckhdy	outgoing	13	1	1	0	0	1	0	0	0	0	0.1873840445	0.000999000999	0.000999000999	1.130440955	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chckhedy	outgoing	11	1	1	0	0	1	0	0	0	0	0.1892393321	0.000999000999	0.000999000999	1.125879094	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chckhey	outgoing	30	2	2	0.9917884489	0.9917884489	0.9917884489	0	0.6026906923	0.6026906923	0.5354220966	0.8775510204	0.000999000999	0.000999000999	0.9327951863	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chckhy	outgoing	140	7	4	0.9873356863	0.9931335894	0.9694220122	0.01067024677	0.5415367843	0.5045311606	0.4190304141	0.8075801749	0.5014985015	0.9360639361	0.5858762772	1	0.03596403596	REPRODUCIBLY_BROAD	false
chcthy	outgoing	81	3	3	0.9870902086	0.9847663347	0.9826611311	0.005942199554	0.3842431164	0.3068291317	0.2865849668	0.8243661101	0.9230769231	0.7492507493	1.058501921	1	0.3516483516	INSUFFICIENT_SUPPORT	false
chdy	outgoing	146	6	4	0.9868831588	0.9880725292	0.9805169509	0.003215129604	0.5935667266	0.5984470322	0.4732858442	0.8119975263	0.3926073926	0.4755244755	0.5420009486	1	0.9280719281	INSUFFICIENT_SUPPORT	false
chear	outgoing	51	2	2	0.9931335894	0.9931335894	0.9931335894	0	0.0517418787	0.0517418787	-0.003672353422	0.7717996289	0.000999000999	0.000999000999	1.094426926	1	0.000999000999	INSUFFICIENT_SUPPORT	false
checkhy	outgoing	48	1	1	0	0	1	0	0	0	0	0.1818181818	0.000999000999	0.000999000999	1.094588667	1	0.000999000999	INSUFFICIENT_SUPPORT	false
checthy	outgoing	30	1	1	0	0	1	0	0	0	0	0.1818181818	0.000999000999	0.000999000999	1.095186701	1	0.000999000999	INSUFFICIENT_SUPPORT	false
ched	outgoing	18	1	1	0	0	1	0	0	0	0	0.1892393321	0.000999000999	0.000999000999	1.125879094	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chedaiin	outgoing	39	1	1	0	0	1	0	0	0	0	0.1910946197	0.000999000999	0.000999000999	1.128145001	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chedal	outgoing	26	1	1	0	0	1	0	0	0	0	0.1985157699	0.000999000999	0.000999000999	0.7487163043	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chedar	outgoing	34	1	1	0	0	1	0	0	0	0	0.1910946197	0.000999000999	0.000999000999	1.128145001	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chedy	outgoing	506	10	5	0.9690151876	0.9878025359	0.887669685	0.03831234001	0.6103663395	0.5864454801	0.4695638217	0.8166975881	0.05394605395	0.2667332667	0.5228911875	1	0.952047952	INSUFFICIENT_SUPPORT	false
cheedy	outgoing	59	2	2	0.9837765838	0.9837765838	0.9837765838	0	0.587240224	0.587240224	0.5258693031	0.879406308	0.000999000999	0.000999000999	0.9142024316	1	0.000999000999	INSUFFICIENT_SUPPORT	false
cheeky	outgoing	24	1	1	0	0	1	0	0	0	0	0.1873840445	0.000999000999	0.000999000999	1.119257937	1	0.000999000999	INSUFFICIENT_SUPPORT	false
cheeo	outgoing	19	1	1	0	0	1	0	0	0	0	0.2003710575	0.000999000999	0.000999000999	0.7441544433	1	0.000999000999	INSUFFICIENT_SUPPORT	false
chees	outgoing	37	1	1	0	0	1	0	0	0	0	0.1910946197	0.000999000999	0.000999000999	1.125484094	1	0.000999000999	INSUFFICIENT_SUPPORT	false
cheey	outgoing	183	4	4	0.9821107618	0.9822417047	0.9694230788	0.009267911442	0.3971708692	0.3580145923	0.2903735166	0.8358070501	0.6163836164	0.4155844156	0.8896853918	1	0.7752247752	INSUFFICIENT_SUPPORT	false
cheky	outgoing	66	2	1	0.9918143679	0.9918143679	0.9918143679	0	0.4089529994	0.4089529994	0.3484033004	0.7384044527	0.000999000999	0.000999000999	0.8174409229	1	0.000999000999	INSUFFICIENT_SUPPORT	false
