sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000006 x000076	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	241,65	false	false	true	
x000006 x000077	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	241,74	false	false	true	
x000006 x000096	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	241,69	false	false	true	
x000006 x000098	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	241,76	false	false	true	
x000006 x000099	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	241,62	false	false	true	
x000006 x000224	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	241,30	false	false	true	
x000006 x000225	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	241,34	false	false	true	
x000006 x000434	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	241,18	false	false	true	
x000006 x000435	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	241,18	false	false	true	
x000007 x000051	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	254,101	false	false	true	
x000007 x000225	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	254,34	false	false	true	
x000007 x000341	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	254,26	false	false	true	
x000007 x000476	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	254,15	false	false	true	
x000007 x000477	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	254,11	false	false	true	
x000008 x000055	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	252,132	false	false	true	
