block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G0/generic#0	G1/generic#0	8	11	6	0.4615384615	0.5788360734	0
G0/generic#0	G2/generic#0	8	13	7	0.5	0.7384366316	0
G0/generic#0	G3/generic#0	8	17	8	0.4705882353	0.6861859528	0
G0/generic#0	G0/generic#1	8	14	6	0.375	0.5946664592	0
G0/generic#0	G1/generic#1	8	10	5	0.3846153846	0.4743902396	0
G0/generic#0	G2/generic#1	8	9	6	0.5454545455	0.6858262432	0
G0/generic#0	G3/generic#1	8	6	3	0.2727272727	0.4690970915	0
G0/generic#0	G0/generic#2	8	15	7	0.4375	0.6142872748	0
G0/generic#0	G1/generic#2	8	12	6	0.4285714286	0.6275883831	0
G0/generic#0	G2/generic#2	8	13	6	0.4	0.5206643681	0
G0/generic#0	G3/generic#2	8	20	8	0.4	0.6274962313	0
G0/generic#0	G0/generic#3	8	20	7	0.3333333333	0.5355846073	0
G0/generic#0	G1/generic#3	8	10	6	0.5	0.6156501118	0
G0/generic#0	G2/generic#3	8	12	6	0.4285714286	0.6275883831	0
G0/generic#0	G3/generic#3	8	9	6	0.5454545455	0.6599727246	0
G0/generic#0	G0/generic#4	8	5	2	0.1818181818	0.357696106	0
G0/generic#0	G1/generic#4	8	9	6	0.5454545455	0.6376564482	0
G0/generic#0	G2/generic#4	8	12	6	0.4285714286	0.6275883831	0
G0/generic#0	G3/generic#4	8	8	3	0.2307692308	0.4504449687	0
G0/generic#0	G0/generic#5	8	8	6	0.6	0.6868309684	1
G0/generic#0	G1/generic#5	8	8	5	0.4545454545	0.6076594772	0
G0/generic#0	G2/generic#5	8	5	5	0.625	0.7821004275	1
G0/generic#0	G3/generic#5	8	9	6	0.5454545455	0.7106607995	0
G0/generic#0	G0/generic#6	8	17	8	0.4705882353	0.6744818179	0
G0/generic#0	G1/generic#6	8	11	7	0.5833333333	0.7140394351	0
G0/generic#0	G2/generic#6	8	8	6	0.6	0.71480804	0
G0/generic#0	G3/generic#6	8	7	6	0.6666666667	0.7487010125	0
G0/generic#0	G0/generic#7	8	9	7	0.7	0.8123018238	1
G0/generic#0	G1/generic#7	8	10	6	0.5	0.5973278534	0
G0/generic#0	G2/generic#7	8	15	7	0.4375	0.627065567	0
G0/generic#0	G3/generic#7	8	9	6	0.5454545455	0.7639930092	0
G0/generic#0	G0/generic#8	8	6	3	0.2727272727	0.4690970915	0
G0/generic#0	G1/generic#8	8	9	4	0.3076923077	0.4599533672	0
G0/generic#0	G2/generic#8	8	5	5	0.625	0.7821004275	0
G0/generic#0	G3/generic#8	8	9	7	0.7	0.8123018238	0
G0/generic#0	G0/generic#9	8	8	3	0.2307692308	0.5074889471	0
G0/generic#0	G1/generic#9	8	12	6	0.4285714286	0.6285079229	0
G0/generic#0	G2/generic#9	8	17	7	0.3888888889	0.6429861269	0
G0/generic#0	G3/generic#9	8	14	6	0.375	0.5320650755	0
G0/generic#0	G0/generic#10	8	12	4	0.25	0.4457403644	0
G0/generic#0	G1/generic#10	8	7	3	0.25	0.4690850435	0
G0/generic#0	G2/generic#10	8	9	5	0.4166666667	0.5646520969	0
G0/generic#0	G3/generic#10	8	13	7	0.5	0.6417222071	0
G0/generic#0	G0/generic#11	8	15	6	0.3529411765	0.5089542251	0
G0/generic#0	G1/generic#11	8	8	6	0.6	0.6868309684	1
G0/generic#0	G2/generic#11	8	10	7	0.6363636364	0.7347023396	0
G0/generic#0	G3/generic#11	8	19	7	0.35	0.5357485607	0
G0/generic#0	G0/generic#12	8	16	7	0.4117647059	0.6132565631	0
G0/generic#0	G1/generic#12	8	14	6	0.375	0.5211242119	0
G0/generic#0	G2/generic#12	8	12	5	0.3333333333	0.6116740769	0
G0/generic#0	G3/generic#12	8	21	8	0.380952381	0.6182350332	0
G0/generic#0	G0/generic#13	8	15	6	0.3529411765	0.5330418166	0
G0/generic#0	G1/generic#13	8	15	8	0.5333333333	0.7019215896	0
G0/generic#0	G2/generic#13	8	15	7	0.4375	0.6142872748	0
G0/generic#0	G3/generic#13	8	12	7	0.5384615385	0.693376148	0
G0/generic#0	G0/generic#14	8	15	7	0.4375	0.686121238	0
G0/generic#0	G1/generic#14	8	16	6	0.3333333333	0.4869787631	0
G0/generic#0	G2/generic#14	8	18	6	0.3	0.477448698	0
G0/generic#0	G3/generic#14	8	11	4	0.2666666667	0.3782018197	0
G0/generic#0	G0/generic#15	8	16	5	0.2631578947	0.3813481465	0
G0/generic#0	G1/generic#15	8	19	6	0.2857142857	0.4591202846	0
G0/generic#0	G2/generic#15	8	19	7	0.35	0.5969077884	0
G0/generic#0	G3/generic#15	8	9	6	0.5454545455	0.6615332276	0
G1/generic#0	G2/generic#0	11	13	7	0.4117647059	0.5669691719	0
G1/generic#0	G3/generic#0	11	17	7	0.3333333333	0.4811500642	0
G1/generic#0	G0/generic#1	11	14	8	0.4705882353	0.6067034245	0
G1/generic#0	G1/generic#1	11	10	8	0.6153846154	0.7009757074	0
G1/generic#0	G2/generic#1	11	9	7	0.5384615385	0.6476817613	0
G1/generic#0	G3/generic#1	11	6	2	0.1333333333	0.2540136034	0
G1/generic#0	G0/generic#2	11	15	10	0.625	0.7627034336	0
G1/generic#0	G1/generic#2	11	12	6	0.3529411765	0.4714174945	0
G1/generic#0	G2/generic#2	11	13	9	0.6	0.7460994165	0
G1/generic#0	G3/generic#2	11	20	8	0.347826087	0.5239498076	1
G1/generic#0	G0/generic#3	11	20	9	0.4090909091	0.6215599452	0
G1/generic#0	G1/generic#3	11	10	8	0.6153846154	0.7611469147	0
G1/generic#0	G2/generic#3	11	12	6	0.3529411765	0.4714174945	0
G1/generic#0	G3/generic#3	11	9	9	0.8181818182	0.8798765159	1
G1/generic#0	G0/generic#4	11	5	5	0.4545454545	0.7018277846	1
G1/generic#0	G1/generic#4	11	9	6	0.4285714286	0.5363739412	0
G1/generic#0	G2/generic#4	11	12	7	0.4375	0.5821211703	0
G1/generic#0	G3/generic#4	11	8	4	0.2666666667	0.4471525658	0
G1/generic#0	G0/generic#5	11	8	6	0.4615384615	0.5788360734	0
G1/generic#0	G1/generic#5	11	8	6	0.4615384615	0.6476817613	0
G1/generic#0	G2/generic#5	11	5	5	0.4545454545	0.6616861454	0
G1/generic#0	G3/generic#5	11	9	6	0.4285714286	0.5363739412	0
G1/generic#0	G0/generic#6	11	17	10	0.5555555556	0.7037755592	0
G1/generic#0	G1/generic#6	11	11	7	0.4666666667	0.5991260483	0
G1/generic#0	G2/generic#6	11	8	8	0.7272727273	0.8138595947	0
G1/generic#0	G3/generic#6	11	7	7	0.6363636364	0.776949353	1
G1/generic#0	G0/generic#7	11	9	6	0.4285714286	0.5556648515	0
G1/generic#0	G1/generic#7	11	10	7	0.5	0.6185197931	0
G1/generic#0	G2/generic#7	11	15	9	0.5294117647	0.7266465861	0
G1/generic#0	G3/generic#7	11	9	6	0.4285714286	0.5779802079	0
G1/generic#0	G0/generic#8	11	6	2	0.1333333333	0.2540136034	0
G1/generic#0	G1/generic#8	11	9	6	0.4285714286	0.6185197931	1
G1/generic#0	G2/generic#8	11	5	5	0.4545454545	0.6616861454	0
G1/generic#0	G3/generic#8	11	9	6	0.4285714286	0.5556648515	0
G1/generic#0	G0/generic#9	11	8	4	0.2666666667	0.4911289439	1
G1/generic#0	G1/generic#9	11	12	6	0.3529411765	0.4721996521	0
G1/generic#0	G2/generic#9	11	17	7	0.3333333333	0.4922992018	0
G1/generic#0	G3/generic#9	11	14	10	0.6666666667	0.8177984682	0
G1/generic#0	G0/generic#10	11	12	5	0.2777777778	0.3736661097	0
G1/generic#0	G1/generic#10	11	7	2	0.125	0.253124847	0
G1/generic#0	G2/generic#10	11	9	5	0.3333333333	0.474179917	0
G1/generic#0	G3/generic#10	11	13	8	0.5	0.6959760599	0
G1/generic#0	G0/generic#11	11	15	6	0.3	0.4230938359	0
G1/generic#0	G1/generic#11	11	8	6	0.4615384615	0.5788360734	0
G1/generic#0	G2/generic#11	11	10	6	0.4	0.560003609	0
G1/generic#0	G3/generic#11	11	19	9	0.4285714286	0.6214172338	0
G1/generic#0	G0/generic#12	11	16	8	0.4210526316	0.6116861631	0
G1/generic#0	G1/generic#12	11	14	6	0.3157894737	0.4864382788	0
G1/generic#0	G2/generic#12	11	12	5	0.2777777778	0.4588888858	0
G1/generic#0	G3/generic#12	11	21	10	0.4545454545	0.6856461838	1
G1/generic#0	G0/generic#13	11	15	8	0.4444444444	0.606513802	0
G1/generic#0	G1/generic#13	11	15	8	0.4444444444	0.6342302857	0
G1/generic#0	G2/generic#13	11	15	8	0.4444444444	0.6113106621	0
G1/generic#0	G3/generic#13	11	12	8	0.5333333333	0.6917544002	0
G1/generic#0	G0/generic#14	11	15	7	0.3684210526	0.5268108533	0
G1/generic#0	G1/generic#14	11	16	7	0.35	0.5023009448	0
G1/generic#0	G2/generic#14	11	18	8	0.380952381	0.5408654111	0
G1/generic#0	G3/generic#14	11	11	6	0.375	0.5445956556	0
G1/generic#0	G0/generic#15	11	16	7	0.35	0.4669251371	0
G1/generic#0	G1/generic#15	11	19	7	0.3043478261	0.5180250625	0
G1/generic#0	G2/generic#15	11	19	9	0.4285714286	0.6322263753	0
G1/generic#0	G3/generic#15	11	9	7	0.5384615385	0.6858464403	1
G2/generic#0	G3/generic#0	13	17	9	0.4285714286	0.6314839077	0
G2/generic#0	G0/generic#1	13	14	11	0.6875	0.8240125486	0
G2/generic#0	G1/generic#1	13	10	6	0.3529411765	0.4894990812	0
G2/generic#0	G2/generic#1	13	9	7	0.4666666667	0.675348855	1
G2/generic#0	G3/generic#1	13	6	3	0.1875	0.372142649	0
G2/generic#0	G0/generic#2	13	15	9	0.4736842105	0.6281989439	0
G2/generic#0	G1/generic#2	13	12	9	0.5625	0.6575346547	0
G2/generic#0	G2/generic#2	13	13	6	0.3	0.4094169227	0
G2/generic#0	G3/generic#2	13	20	11	0.5	0.7010701985	0
G2/generic#0	G0/generic#3	13	20	10	0.4347826087	0.5898837447	0
G2/generic#0	G1/generic#3	13	10	7	0.4375	0.6036679529	0
G2/generic#0	G2/generic#3	13	12	9	0.5625	0.6575346547	0
G2/generic#0	G3/generic#3	13	9	7	0.4666666667	0.647807464	0
G2/generic#0	G0/generic#4	13	5	3	0.2	0.4341171844	0
G2/generic#0	G1/generic#4	13	9	6	0.375	0.5062818767	0
G2/generic#0	G2/generic#4	13	12	9	0.5625	0.6575346547	0
G2/generic#0	G3/generic#4	13	8	4	0.2352941176	0.4850016966	0
G2/generic#0	G0/generic#5	13	8	6	0.4	0.5467882561	0
G2/generic#0	G1/generic#5	13	8	6	0.4	0.6103593516	0
G2/generic#0	G2/generic#5	13	5	5	0.3846153846	0.626052187	0
G2/generic#0	G3/generic#5	13	9	7	0.4666666667	0.6259827219	0
G2/generic#0	G0/generic#6	13	17	9	0.4285714286	0.6222989449	0
G2/generic#0	G1/generic#6	13	11	8	0.5	0.6224659494	0
G2/generic#0	G2/generic#6	13	8	7	0.5	0.7023615964	0
G2/generic#0	G3/generic#6	13	7	6	0.4285714286	0.5976243241	0
G2/generic#0	G0/generic#7	13	9	8	0.5714285714	0.7105197722	0
G2/generic#0	G1/generic#7	13	10	6	0.3529411765	0.4729784227	0
G2/generic#0	G2/generic#7	13	15	9	0.4736842105	0.5939863758	0
G2/generic#0	G3/generic#7	13	9	9	0.6923076923	0.8019405651	0
G2/generic#0	G0/generic#8	13	6	3	0.1875	0.4361637996	0
G2/generic#0	G1/generic#8	13	9	5	0.2941176471	0.4747492142	1
G2/generic#0	G2/generic#8	13	5	5	0.3846153846	0.626052187	0
G2/generic#0	G3/generic#8	13	9	9	0.6923076923	0.8343172177	0
G2/generic#0	G0/generic#9	13	8	6	0.4	0.6493502704	0
G2/generic#0	G1/generic#9	13	12	9	0.5625	0.7119975761	0
G2/generic#0	G2/generic#9	13	17	12	0.6666666667	0.7832810015	0
G2/generic#0	G3/generic#9	13	14	7	0.35	0.5204271751	0
G2/generic#0	G0/generic#10	13	12	9	0.5625	0.67896825	0
G2/generic#0	G1/generic#10	13	7	6	0.4285714286	0.6383642661	1
G2/generic#0	G2/generic#10	13	9	6	0.375	0.5079757566	0
G2/generic#0	G3/generic#10	13	13	7	0.3684210526	0.6082956898	0
G2/generic#0	G0/generic#11	13	15	8	0.4	0.4985265793	1
G2/generic#0	G1/generic#11	13	8	6	0.4	0.5467882561	0
G2/generic#0	G2/generic#11	13	10	6	0.3529411765	0.5284927378	0
G2/generic#0	G3/generic#11	13	19	11	0.5238095238	0.6736247557	1
G2/generic#0	G0/generic#12	13	16	10	0.5263157895	0.674059054	0
G2/generic#0	G1/generic#12	13	14	8	0.4210526316	0.607842305	0
G2/generic#0	G2/generic#12	13	12	9	0.5625	0.7442896974	0
G2/generic#0	G3/generic#12	13	21	11	0.4782608696	0.6518780612	0
G2/generic#0	G0/generic#13	13	15	9	0.4736842105	0.6240304248	0
G2/generic#0	G1/generic#13	13	15	8	0.4	0.5561081976	0
G2/generic#0	G2/generic#13	13	15	8	0.4	0.5327280616	0
G2/generic#0	G3/generic#13	13	12	8	0.4705882353	0.605593839	0
G2/generic#0	G0/generic#14	13	15	12	0.75	0.8356532325	0
G2/generic#0	G1/generic#14	13	16	8	0.380952381	0.4764596745	0
G2/generic#0	G2/generic#14	13	18	10	0.4761904762	0.6044780564	0
G2/generic#0	G3/generic#14	13	11	7	0.4117647059	0.5693236294	0
G2/generic#0	G0/generic#15	13	16	7	0.3181818182	0.439624401	0
G2/generic#0	G1/generic#15	13	19	10	0.4545454545	0.5813654643	0
G2/generic#0	G2/generic#15	13	19	12	0.6	0.7692696414	0
G2/generic#0	G3/generic#15	13	9	8	0.5714285714	0.7105197722	0
G3/generic#0	G0/generic#1	17	14	7	0.2916666667	0.4838311214	0
G3/generic#0	G1/generic#1	17	10	7	0.35	0.5134549435	0
G3/generic#0	G2/generic#1	17	9	7	0.3684210526	0.5769783842	1
G3/generic#0	G3/generic#1	17	6	4	0.2105263158	0.4284995098	0
G3/generic#0	G0/generic#2	17	15	9	0.3913043478	0.5734249885	0
G3/generic#0	G1/generic#2	17	12	7	0.3181818182	0.5109645144	0
G3/generic#0	G2/generic#2	17	13	6	0.25	0.3861837962	0
G3/generic#0	G3/generic#2	17	20	13	0.5416666667	0.6650780631	0
G3/generic#0	G0/generic#3	17	20	9	0.3214285714	0.5661254979	0
G3/generic#0	G1/generic#3	17	10	8	0.4210526316	0.6121214969	0
G3/generic#0	G2/generic#3	17	12	8	0.380952381	0.6489227838	0
G3/generic#0	G3/generic#3	17	9	7	0.3684210526	0.5522305913	0
G3/generic#0	G0/generic#4	17	5	3	0.1578947368	0.368537358	0
G3/generic#0	G1/generic#4	17	9	7	0.3684210526	0.5825766417	0
G3/generic#0	G2/generic#4	17	12	6	0.2608695652	0.4202005872	0
G3/generic#0	G3/generic#4	17	8	4	0.1904761905	0.4124742041	0
G3/generic#0	G0/generic#5	17	8	6	0.3157894737	0.519946377	0
G3/generic#0	G1/generic#5	17	8	6	0.3157894737	0.5202004027	1
G3/generic#0	G2/generic#5	17	5	5	0.2941176471	0.5356975516	0
G3/generic#0	G3/generic#5	17	9	8	0.4444444444	0.6376412124	0
G3/generic#0	G0/generic#6	17	17	12	0.5454545455	0.7524630833	0
G3/generic#0	G1/generic#6	17	11	8	0.4	0.5296485047	0
G3/generic#0	G2/generic#6	17	8	7	0.3888888889	0.6000576765	0
G3/generic#0	G3/generic#6	17	7	6	0.3333333333	0.509906042	0
G3/generic#0	G0/generic#7	17	9	9	0.5294117647	0.7123391651	0
G3/generic#0	G1/generic#7	17	10	7	0.35	0.5441407489	0
G3/generic#0	G2/generic#7	17	15	7	0.28	0.4177132183	0
G3/generic#0	G3/generic#7	17	9	6	0.3	0.5191571371	0
G3/generic#0	G0/generic#8	17	6	4	0.2105263158	0.4262246132	0
G3/generic#0	G1/generic#8	17	9	4	0.1818181818	0.3042589821	0
G3/generic#0	G2/generic#8	17	5	5	0.2941176471	0.5356975516	0
G3/generic#0	G3/generic#8	17	9	8	0.4444444444	0.6070310013	0
G3/generic#0	G0/generic#9	17	8	5	0.25	0.4991426479	0
G3/generic#0	G1/generic#9	17	12	8	0.380952381	0.649248919	0
G3/generic#0	G2/generic#9	17	17	10	0.4166666667	0.6634342712	0
G3/generic#0	G3/generic#9	17	14	7	0.2916666667	0.4401042915	0
G3/generic#0	G0/generic#10	17	12	6	0.2608695652	0.4825879018	0
G3/generic#0	G1/generic#10	17	7	5	0.2631578947	0.4874837946	0
G3/generic#0	G2/generic#10	17	9	7	0.3684210526	0.5336213059	0
G3/generic#0	G3/generic#10	17	13	8	0.3636363636	0.556709408	0
G3/generic#0	G0/generic#11	17	15	9	0.3913043478	0.5445463618	1
G3/generic#0	G1/generic#11	17	8	6	0.3157894737	0.4652611566	0
G3/generic#0	G2/generic#11	17	10	7	0.35	0.4961643955	0
G3/generic#0	G3/generic#11	17	19	12	0.5	0.6422422782	0
G3/generic#0	G0/generic#12	17	16	11	0.5	0.6534742697	0
G3/generic#0	G1/generic#12	17	14	9	0.4090909091	0.5598280858	0
G3/generic#0	G2/generic#12	17	12	7	0.3181818182	0.5891149557	0
G3/generic#0	G3/generic#12	17	21	11	0.4074074074	0.5829092299	0
G3/generic#0	G0/generic#13	17	15	7	0.28	0.4406476831	0
G3/generic#0	G1/generic#13	17	15	10	0.4545454545	0.5871981273	0
G3/generic#0	G2/generic#13	17	15	12	0.6	0.6967418821	0
G3/generic#0	G3/generic#13	17	12	7	0.3181818182	0.4661520613	0
G3/generic#0	G0/generic#14	17	15	9	0.3913043478	0.5857952984	0
G3/generic#0	G1/generic#14	17	16	7	0.2692307692	0.4773917697	0
G3/generic#0	G2/generic#14	17	18	9	0.3461538462	0.5089107958	0
G3/generic#0	G3/generic#14	17	11	6	0.2727272727	0.4338874183	0
G3/generic#0	G0/generic#15	17	16	10	0.4347826087	0.5748048943	0
G3/generic#0	G1/generic#15	17	19	9	0.3333333333	0.4884362601	0
G3/generic#0	G2/generic#15	17	19	10	0.3846153846	0.6155202898	0
G3/generic#0	G3/generic#15	17	9	8	0.4444444444	0.6070310013	0
G0/generic#1	G1/generic#1	14	10	8	0.5	0.6458399712	0
G0/generic#1	G2/generic#1	14	9	8	0.5333333333	0.6586629524	0
G0/generic#1	G3/generic#1	14	6	3	0.1764705882	0.3603904218	0
G0/generic#1	G0/generic#2	14	15	10	0.5263157895	0.6561747001	0
G0/generic#1	G1/generic#2	14	12	10	0.625	0.7433147394	0
G0/generic#1	G2/generic#2	14	13	7	0.35	0.5416153585	0
G0/generic#1	G3/generic#2	14	20	9	0.36	0.6001481924	0
G0/generic#1	G0/generic#3	14	20	13	0.619047619	0.7387722331	0
G0/generic#1	G1/generic#3	14	10	8	0.5	0.6458399712	0
G0/generic#1	G2/generic#3	14	12	9	0.5294117647	0.6407375085	0
G0/generic#1	G3/generic#3	14	9	8	0.5333333333	0.6929206475	1
G0/generic#1	G0/generic#4	14	5	4	0.2666666667	0.4993704758	0
G0/generic#1	G1/generic#4	14	9	7	0.4375	0.6084544	0
G0/generic#1	G2/generic#4	14	12	10	0.625	0.7433147394	0
G0/generic#1	G3/generic#4	14	8	5	0.2941176471	0.4727539332	0
G0/generic#1	G0/generic#5	14	8	6	0.375	0.5946664592	0
G0/generic#1	G1/generic#5	14	8	8	0.5714285714	0.7820702895	0
G0/generic#1	G2/generic#5	14	5	5	0.3571428571	0.6105873936	0
G0/generic#1	G3/generic#5	14	9	6	0.3529411765	0.4931973278	0
G0/generic#1	G0/generic#6	14	17	9	0.4090909091	0.5618515525	0
G0/generic#1	G1/generic#6	14	11	7	0.3888888889	0.603553231	0
G0/generic#1	G2/generic#6	14	8	8	0.5714285714	0.7511211833	0
G0/generic#1	G3/generic#6	14	7	6	0.4	0.582628174	0
G0/generic#1	G0/generic#7	14	9	6	0.3529411765	0.5112296687	0
G0/generic#1	G1/generic#7	14	10	6	0.3333333333	0.5147937534	0
G0/generic#1	G2/generic#7	14	15	10	0.5263157895	0.6717365972	0
G0/generic#1	G3/generic#7	14	9	9	0.6428571429	0.7820702895	0
G0/generic#1	G0/generic#8	14	6	3	0.1764705882	0.4891452904	0
G0/generic#1	G1/generic#8	14	9	5	0.2777777778	0.4623026047	0
G0/generic#1	G2/generic#8	14	5	5	0.3571428571	0.6105873936	0
G0/generic#1	G3/generic#8	14	9	7	0.4375	0.6321422866	0
G0/generic#1	G0/generic#9	14	8	5	0.2941176471	0.5127386168	0
G0/generic#1	G1/generic#9	14	12	8	0.4444444444	0.5901704233	0
G0/generic#1	G2/generic#9	14	17	12	0.6315789474	0.7634128068	0
G0/generic#1	G3/generic#9	14	14	10	0.5555555556	0.7046549034	0
G0/generic#1	G0/generic#10	14	12	8	0.4444444444	0.6080650311	0
G0/generic#1	G1/generic#10	14	7	4	0.2352941176	0.4266386275	0
G0/generic#1	G2/generic#10	14	9	5	0.2777777778	0.4355687918	0
G0/generic#1	G3/generic#10	14	13	9	0.5	0.6896541425	0
G0/generic#1	G0/generic#11	14	15	9	0.45	0.5785012817	0
G0/generic#1	G1/generic#11	14	8	7	0.4666666667	0.6564691892	1
G0/generic#1	G2/generic#11	14	10	7	0.4117647059	0.6232351051	0
G0/generic#1	G3/generic#11	14	19	10	0.4347826087	0.5734737616	0
G0/generic#1	G0/generic#12	14	16	10	0.5	0.6581250253	0
