source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x000052	x002364	preferred	1000	1	1	0	0.05097729757	EXPECTED_FROM_NULL
x000052	x004655	preferred	1000	0.04095904096	0.2391027776	1	0.05917554599	EXPECTED_FROM_NULL
x000052	x006713	preferred	1000	1	1	1	0.05292592389	EXPECTED_FROM_NULL
x000052	x006715	preferred	1000	1	1	0	0.05097729757	EXPECTED_FROM_NULL
x000052	x007532	preferred	1000	1	1	1	0.05485607012	EXPECTED_FROM_NULL
x000052	x007615	preferred	1000	1	1	0	0.05562861351	EXPECTED_FROM_NULL
x000052	x008224	preferred	1000	0.04995004995	0.2568132974	1	0.05562318969	EXPECTED_FROM_NULL
x000052	x008226	preferred	1000	0.05794205794	0.2692137794	1	0.05463460108	EXPECTED_FROM_NULL
x000052	x008485	preferred	1000	0.03196803197	0.2325694356	1	0.05094025166	EXPECTED_FROM_NULL
x000052	x008486	preferred	1000	0.01098901099	0.1915277705	1	0.04680222335	EXPECTED_FROM_NULL
x000052	x009111	preferred	1000	1	1	1	0.05263536065	EXPECTED_FROM_NULL
x000052	x010167	preferred	1000	1	1	0	0.05224401943	EXPECTED_FROM_NULL
x000052	x010760	preferred	1000	1	1	1	0.05747193548	EXPECTED_FROM_NULL
x000052	x010892	preferred	1000	0.03396603397	0.2325694356	0.5	0.05264738046	EXPECTED_FROM_NULL
x000052	x010893	preferred	1000	0.1328671329	0.4078573112	1	0.07094380165	EXPECTED_FROM_NULL
x000052	x010894	preferred	1000	1	1	0	0.05794141077	EXPECTED_FROM_NULL
x000052	x010895	preferred	1000	1	1	0.5	0.06292666376	EXPECTED_FROM_NULL
x000052	x010976	preferred	1000	1	1	0	0.0496832479	EXPECTED_FROM_NULL
x000052	x010978	preferred	1000	0.02997002997	0.2305378545	1	0.05965364515	EXPECTED_FROM_NULL
x000052	x011260	preferred	1000	1	1	1	0.06192650848	EXPECTED_FROM_NULL
x000052	x011261	preferred	1000	1	1	0	0.05917321209	EXPECTED_FROM_NULL
x000052	x011262	preferred	1000	1	1	0	0.07026562612	EXPECTED_FROM_NULL
x000052	x011263	preferred	1000	0.05794205794	0.2692137794	0.5	0.06744816811	EXPECTED_FROM_NULL
x000052	x011445	preferred	1000	0.05894105894	0.2692758746	1	0.05323504991	EXPECTED_FROM_NULL
x000052	x011447	preferred	1000	1	1	1	0.04890326079	EXPECTED_FROM_NULL
x000052	x011935	preferred	1000	0.01898101898	0.2002167716	1	0.05224151629	EXPECTED_FROM_NULL
x000052	x011979	preferred	1000	1	1	1	0.0509157764	EXPECTED_FROM_NULL
x000052	x017120	preferred	1000	0.04995004995	0.2568132974	1	0.05815305181	EXPECTED_FROM_NULL
x000052	x017122	preferred	1000	1	1	0	0.05986414294	EXPECTED_FROM_NULL
x000052	x017123	preferred	1000	0.03796203796	0.2386582028	1	0.05431408264	EXPECTED_FROM_NULL
x000052	x019220	preferred	1000	1	1	0	0.06139210232	EXPECTED_FROM_NULL
x000052	x019222	preferred	1000	0.07192807193	0.2883310611	1	0.05936491883	EXPECTED_FROM_NULL
x000052	x019223	preferred	1000	1	1	0	0.0517926714	EXPECTED_FROM_NULL
x000052	x019543	preferred	1000	1	1	0	0.06453068902	EXPECTED_FROM_NULL
x000052	x020316	preferred	1000	0.09290709291	0.3276519139	1	0.06754442383	EXPECTED_FROM_NULL
x000052	x020318	preferred	1000	1	1	1	0.06827120979	EXPECTED_FROM_NULL
x000052	x020319	preferred	1000	1	1	0	0.06721843705	EXPECTED_FROM_NULL
x000052	x020623	preferred	1000	1	1	1	0.06576734732	EXPECTED_FROM_NULL
x000052	x021141	preferred	1000	1	1	0	0.05094025166	EXPECTED_FROM_NULL
x000053	x002778	preferred	1000	1	1	1	0.06016158506	EXPECTED_FROM_NULL
x000053	x002779	preferred	1000	0.04095904096	0.2391027776	1	0.0645649787	EXPECTED_FROM_NULL
x000053	x006713	preferred	1000	1	1	0	0.06794001993	EXPECTED_FROM_NULL
x000053	x007615	preferred	1000	0.01998001998	0.2029197568	1	0.06169571891	EXPECTED_FROM_NULL
x000053	x008132	preferred	1000	0.05994005994	0.2697796437	1	0.05975250391	EXPECTED_FROM_NULL
x000053	x008134	preferred	1000	1	1	0	0.05405225772	EXPECTED_FROM_NULL
x000053	x008224	preferred	1000	0.03896103896	0.2386582028	1	0.05853128329	EXPECTED_FROM_NULL
x000053	x008226	preferred	1000	1	1	0	0.0668411546	EXPECTED_FROM_NULL
x000053	x008227	preferred	1000	0.06193806194	0.2746993266	1	0.05600927148	EXPECTED_FROM_NULL
x000053	x008517	preferred	1000	0.01198801199	0.1915277705	1	0.05718713305	EXPECTED_FROM_NULL
x000053	x010486	preferred	1000	0.07892107892	0.2998781469	1	0.07265458951	EXPECTED_FROM_NULL
x000053	x010892	preferred	1000	0.05094905095	0.2568132974	0.5	0.05733057646	EXPECTED_FROM_NULL
x000053	x010893	preferred	1000	0.06493506494	0.277625348	1	0.06477539194	EXPECTED_FROM_NULL
x000053	x010894	preferred	1000	0.07692307692	0.2972473071	1	0.06382874035	EXPECTED_FROM_NULL
x000053	x010895	preferred	1000	1	1	0	0.05600927148	EXPECTED_FROM_NULL
x000053	x010976	preferred	10000	0.01559844016	0.1915277705	1	0.0512242051	EXPECTED_FROM_NULL
x000053	x010977	preferred	1000	1	1	1	0.0651362432	EXPECTED_FROM_NULL
x000053	x010978	preferred	1000	1	1	0	0.0679544152	EXPECTED_FROM_NULL
x000053	x011260	preferred	1000	0.03996003996	0.2391027776	1	0.06224791199	EXPECTED_FROM_NULL
x000053	x011261	preferred	1000	0.03396603397	0.2325694356	1	0.06320522726	EXPECTED_FROM_NULL
