context	stratum	stratum_type	token	count	probability
s_aiin	global		al	1	0.023809523809523808
s_aiin	global		char	1	0.023809523809523808
s_aiin	global		chcphdy	1	0.023809523809523808
s_aiin	global		cheeos	1	0.023809523809523808
s_aiin	global		cheky	1	0.023809523809523808
s_aiin	global		chey	4	0.09523809523809523
s_aiin	global		chky	1	0.023809523809523808
s_aiin	global		chody	1	0.023809523809523808
s_aiin	global		chokchol	1	0.023809523809523808
s_aiin	global		chokey	1	0.023809523809523808
s_aiin	global		chor	1	0.023809523809523808
s_aiin	global		da?	1	0.023809523809523808
s_aiin	global		daiin	3	0.07142857142857142
s_aiin	global		dal	1	0.023809523809523808
s_aiin	global		doal	1	0.023809523809523808
s_aiin	global		ody	1	0.023809523809523808
s_aiin	global		okaiin	1	0.023809523809523808
s_aiin	global		okain	1	0.023809523809523808
s_aiin	global		okeam	1	0.023809523809523808
s_aiin	global		okey	1	0.023809523809523808
s_aiin	global		okol	1	0.023809523809523808
s_aiin	global		oky	1	0.023809523809523808
s_aiin	global		ol	1	0.023809523809523808
s_aiin	global		olor	1	0.023809523809523808
s_aiin	global		oly	1	0.023809523809523808
s_aiin	global		otain	1	0.023809523809523808
s_aiin	global		qokee@149;	1	0.023809523809523808
s_aiin	global		qokeey	1	0.023809523809523808
s_aiin	global		qotchy	1	0.023809523809523808
s_aiin	global		s	1	0.023809523809523808
s_aiin	global		sha	1	0.023809523809523808
s_aiin	global		shee	1	0.023809523809523808
s_aiin	global		shee'	1	0.023809523809523808
s_aiin	global		sheekchy	1	0.023809523809523808
s_aiin	global		shekeey	1	0.023809523809523808
s_aiin	global		shekey	1	0.023809523809523808
s_aiin	global		sy	1	0.023809523809523808
s_aiin	LINE_START	line_position	chey	1	1
s_aiin	LINE_EARLY	line_position	ody	1	1
s_aiin	LINE_MIDDLE	line_position	chcphdy	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	cheeos	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	cheky	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	chey	3	0.125
s_aiin	LINE_MIDDLE	line_position	chky	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	chody	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	chor	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	doal	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	okaiin	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	okeam	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	okey	1	0.041666666666666664
s_aiin	LINE_MIDDLE	line_position	okol	1	0.041666666666666664
