metric_id	mechanism_id	corpus_id	corpus_scale	replicate	local_global_range	effect
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Astafiev	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Astafiev	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Astafiev	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Astafiev	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Astafiev	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Astafiev	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Doyle	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Doyle	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Doyle	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Doyle	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Doyle	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Doyle	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Longfellow	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Longfellow	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Longfellow	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Longfellow	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Longfellow	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	f11_arismetricum_core	Longfellow	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Astafiev	LARGE	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Astafiev	LARGE	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Astafiev	MEDIUM	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Astafiev	MEDIUM	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Astafiev	SMALL	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Astafiev	SMALL	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Doyle	LARGE	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Doyle	LARGE	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Doyle	MEDIUM	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Doyle	MEDIUM	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Doyle	SMALL	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Doyle	SMALL	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Longfellow	LARGE	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Longfellow	LARGE	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Longfellow	MEDIUM	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Longfellow	MEDIUM	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Longfellow	SMALL	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	f12_horalogius_core	Longfellow	SMALL	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Astafiev	LARGE	0	0.000291	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Astafiev	LARGE	1	0.000291	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Astafiev	MEDIUM	0	0.000547	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Astafiev	MEDIUM	1	0.000547	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Astafiev	SMALL	0	0.000952	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Astafiev	SMALL	1	0.000952	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Doyle	LARGE	0	0.000291	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Doyle	LARGE	1	0.000291	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Doyle	MEDIUM	0	0.000547	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Doyle	MEDIUM	1	0.000547	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Doyle	SMALL	0	0.000952	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Doyle	SMALL	1	0.000952	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Longfellow	LARGE	0	0.000291	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Longfellow	LARGE	1	0.000291	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Longfellow	MEDIUM	0	0.000547	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Longfellow	MEDIUM	1	0.000547	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Longfellow	SMALL	0	0.000952	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_rotation_index	Longfellow	SMALL	1	0.000952	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Astafiev	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Astafiev	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Astafiev	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Astafiev	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Astafiev	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Astafiev	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Doyle	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Doyle	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Doyle	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Doyle	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Doyle	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Doyle	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Longfellow	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Longfellow	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Longfellow	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Longfellow	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Longfellow	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	m_restricted_storage_associate	Longfellow	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Astafiev	LARGE	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Astafiev	LARGE	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Astafiev	MEDIUM	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Astafiev	MEDIUM	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Astafiev	SMALL	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Astafiev	SMALL	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Doyle	LARGE	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Doyle	LARGE	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Doyle	MEDIUM	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Doyle	MEDIUM	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Doyle	SMALL	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Doyle	SMALL	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Longfellow	LARGE	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Longfellow	LARGE	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Longfellow	MEDIUM	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Longfellow	MEDIUM	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Longfellow	SMALL	0	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_cue_association	Longfellow	SMALL	1	0.000000	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Astafiev	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Astafiev	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Astafiev	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Astafiev	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Astafiev	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Astafiev	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Doyle	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Doyle	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Doyle	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Doyle	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Doyle	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Doyle	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Longfellow	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Longfellow	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Longfellow	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Longfellow	MEDIUM	1	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Longfellow	SMALL	0	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	negative_randomized_index_mapping	Longfellow	SMALL	1	0.000476	STABLE
2DL1_LAYOUT_POSITION_MI	synthetic_ambiguous	Astafiev	LARGE	0	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	synthetic_ambiguous	Astafiev	LARGE	1	0.000146	STABLE
2DL1_LAYOUT_POSITION_MI	synthetic_ambiguous	Astafiev	MEDIUM	0	0.000273	STABLE
2DL1_LAYOUT_POSITION_MI	synthetic_ambiguous	Astafiev	MEDIUM	1	0.000273	STABLE
