metric_id	family	classification	action	reason
2DL1_LAYOUT_POSITION_MI	2D-LITE	CORE	RUN	Generic task79-v1-equivalent observed statistic on immutable assembler-line corpus.
BP1_BOUNDARY_TOKEN_NMI	boundary	CORE	RUN	Generic task79-v1-equivalent observed statistic on immutable assembler-line corpus.
EF1_GIANT_COMPONENT_SHARE	edit family	CORE	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
EF1_ISOLATE_SHARE	edit family	SUPPORTING	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
EF2_GLOBAL_CLUSTERING	edit family	CORE	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	CORE	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
HR1_FOLIO_VARIANCE_SHARE	hierarchy	CORE	DO_NOT_RUN_NOT_APPLICABLE	No folio or physical-line hierarchy exists.
HR1_LOCUS_VARIANCE_SHARE	hierarchy	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No locus metadata exists.
HR1_SECTION_VARIANCE_SHARE	hierarchy	CORE	DO_NOT_RUN_NOT_APPLICABLE	No section metadata exists.
HR6_CURRIER_SECTION_NMI	hierarchy	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No Currier-equivalent or section metadata exists.
LC1_LOCUS_TYPE_NMI	locus	CORE	DO_NOT_RUN_NOT_APPLICABLE	No documented locus type exists.
LC2_LABEL_TEXT_NMI	locus	CORE	DO_NOT_RUN_NOT_APPLICABLE	No locus label/text or folio metadata exists.
LC5_IVTFF_I_NMI	locus	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	IVTFF variable metadata is unavailable.
LC5_IVTFF_X_NMI	locus	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	IVTFF variable metadata is unavailable.
LP1_RULE_SUPPORT_GINI	lexical paradigm	SUPPORTING	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
LP4_PREFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
LP4_SUFFIX_ATTACHMENT_NMI	lexical paradigm	SUPPORTING	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
LS1_LINE_LENGTH_CV	line	SUPPORTING	RUN	Generic task79-v1-equivalent observed statistic on immutable assembler-line corpus.
LS2_POSITIONAL_LEXICON_NMI	line	CORE	RUN	Generic task79-v1-equivalent observed statistic on immutable assembler-line corpus.
LS3_BOUNDARY_LENGTH_ASYMMETRY	line	CORE	RUN	Generic task79-v1-equivalent observed statistic on immutable assembler-line corpus.
LS4_WITHIN_LINE_EXACT_REPETITION	line	SUPPORTING	RUN	Generic task79-v1-equivalent observed statistic on immutable assembler-line corpus.
PF2_FOLIO_COHERENCE	folio	CORE	DO_NOT_RUN_NOT_APPLICABLE	No folios exist.
PF3_ADJACENT_FOLIO_CONTINUITY	folio	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No ordered folios exist.
PF4_RECTO_VERSO_COHERENCE	folio	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No recto/verso pairs exist.
PF5_WITHIN_FOLIO_PROGRESSION	folio	CORE	DO_NOT_RUN_NOT_APPLICABLE	No folios exist.
cs1/family-line-position	cross-scale	SUPPORTING	IMPORT_EXISTING	Already attempted by frozen Task82a with assembler provenance.
cs2/prev-family-current-family	cross-scale	SUPPORTING	IMPORT_EXISTING	Already measured in frozen Task82a raw vector.
cs3/family-locus-type	cross-scale	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No locus metadata exists.
cs4/family-currier	cross-scale	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No Currier-equivalent metadata exists.
cs4/family-section	cross-scale	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No section metadata exists.
cs5/local-adjacency-x-regime	cross-scale	SUPPORTING	DO_NOT_RUN_NOT_APPLICABLE	No regime metadata exists.
cs6/family-diversity-x-line-length	cross-scale	SUPPORTING	IMPORT_EXISTING	Already attempted by frozen Task82a with assembler provenance.
cs7/edit-distance-x-structural-distance	cross-scale	SUPPORTING	IMPORT_EXISTING	Already attempted by frozen Task82a with assembler provenance.
