mechanism_id	scaling_policy_id	comparison_eligibility	reason
f01_speculum_core	LITERAL_RESET_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
f01_speculum_profile_latin23_r12	LITERAL_RESET_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
f08_serpens_core	LITERAL_RESET_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
f11_arismetricum_core	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
f11_arismetricum_core	CUE_RESET_LOCAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
f12_horalogius_core	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
f12_horalogius_core	CUE_RESET_LOCAL_V1	NOT_COMPARABLE	No direct CORE observation survives data degeneracy in this condition. (0/54 direct CORE observations)
m_restricted_rotation_index	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
m_restricted_rotation_index	CUE_RESET_LOCAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
m_restricted_storage_associate	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
m_restricted_storage_associate	CUE_RESET_LOCAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
negative_randomized_convention	LITERAL_RESET_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
negative_randomized_cue_association	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
negative_randomized_cue_association	CUE_RESET_LOCAL_V1	NOT_COMPARABLE	No direct CORE observation survives data degeneracy in this condition. (0/54 direct CORE observations)
negative_randomized_index_mapping	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
negative_randomized_index_mapping	CUE_RESET_LOCAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
negative_randomized_path	LITERAL_RESET_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_ambiguous	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_ambiguous	CUE_RESET_LOCAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_cue_based	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_cue_based	CUE_RESET_LOCAL_V1	NOT_COMPARABLE	No direct CORE observation survives data degeneracy in this condition. (0/54 direct CORE observations)
synthetic_cyclic_state	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_cyclic_state	CUE_RESET_LOCAL_V1	NOT_COMPARABLE	No direct CORE observation survives data degeneracy in this condition. (0/54 direct CORE observations)
synthetic_indexed_lookup	CUE_RESET_GLOBAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_indexed_lookup	CUE_RESET_LOCAL_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
synthetic_literal_storage	LITERAL_RESET_V1	PARTIALLY_COMPARABLE	All direct CORE metrics are available, but manuscript-specific CORE families are structurally absent. (54/54 direct CORE observations)
