sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000106 x040635	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	191,17	false	false	true	
x001088 x037856	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	46,504	false	false	true	
x001424 x000104	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	270,238	false	false	true	
x001424 x018496	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	270,270	false	false	true	
x001424 x018498	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	270,209	false	false	true	
x001425 x037856	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	215,504	false	false	true	
x001425 x037857	2	6	6	5	3	3	1	0.3333333333333333	2.251629167387823	GROUP_CONSISTENT	ambiguous-transcription	215,483	false	false	true	
x001426 x018498	2	5	5	4	2	2	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	227,209	false	false	true	
x001426 x018499	2	7	7	5	3	3	1	0.42857142857142855	2.1280852788913944	GROUP_CONSISTENT	ambiguous-transcription	227,165	false	false	true	
x001426 x037856	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	227,504	false	false	true	
x001426 x037858	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	227,367	false	false	true	
x001426 x037859	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	227,339	false	false	true	
x001428 x017890	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	131,93	false	false	true	
x002105 x017408	2	4	4	4	4	4	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	68,144	false	false	true	
x002336 x037856	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	74,504	false	false	true	
x002336 x037857	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	74,483	false	false	true	
x002337 x037856	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	82,504	false	false	true	
x002337 x037858	2	9	9	7	4	4	1	0.3333333333333333	2.6416041678685933	GROUP_CONSISTENT	ambiguous-transcription	82,367	false	false	true	
x002338 x037857	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	44,483	false	false	true	
x005072 x018497	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	54,250	false	false	true	
x011064 x037264	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	11,18	false	false	true	
x011064 x037266	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	11,14	false	false	true	
x011177 x037856	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	26,504	false	false	true	
x014825 x037856	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	53,504	false	false	true	
x014825 x037858	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	53,367	false	false	true	
x015281 x037856	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	43,504	false	false	true	
x017378 x003192	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	61,31	false	false	true	
x017408 x031704	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	144,50	false	false	true	
x017408 x041112	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	144,119	false	false	true	
x017408 x042465	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	144,27	false	false	true	
x017409 x016899	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	135,53	false	false	true	
x017409 x031704	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	135,50	false	false	true	
x017409 x041112	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	135,119	false	false	true	
x017409 x041114	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	135,102	false	false	true	
x017410 x016897	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	92,66	false	false	true	
x018496 x001273	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	270,12	false	false	true	
x018496 x005250	2	4	4	3	3	3	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	270,19	false	false	true	
x018496 x008313	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	270,23	false	false	true	
x018496 x008316	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	270,24	false	false	true	
x018496 x016896	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	270,77	false	false	true	
x018496 x017376	2	6	6	5	3	3	1	0.3333333333333333	2.2516291673878226	GROUP_CONSISTENT	ambiguous-transcription	270,80	false	false	true	
x018496 x017379	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	270,52	false	false	true	
x018497 x001272	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	250,15	false	false	true	
x018497 x005248	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	250,27	false	false	true	
x018497 x008313	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	250,23	false	false	true	
x018497 x016898	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	250,58	false	false	true	
x018498 x001272	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	209,15	false	false	true	
x018498 x001274	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	209,9	false	false	true	
x018498 x001277	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	209,8	false	false	true	
x018498 x008312	2	5	5	5	2	2	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	209,40	false	false	true	
x018498 x016898	2	5	5	4	2	2	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	209,58	false	false	true	
x018498 x017378	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	209,61	false	false	true	
x018498 x017379	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	209,52	false	false	true	
x018499 x016896	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	165,77	false	false	true	
x018499 x017378	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	165,61	false	false	true	
x018499 x017379	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	165,52	false	false	true	
x018500 x017376	2	4	4	3	2	2	1	0.5	1.5	GROUP_CONSISTENT	ambiguous-transcription	146,80	false	false	true	
x018501 x017376	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	94,80	false	false	true	
x018560 x042801	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	38,117	false	false	true	
x018872 x037856	2	16	16	16	4	4	1	0.0625	4	GROUP_CONSISTENT	ambiguous-transcription	151,504	false	false	true	
x018872 x037857	2	10	10	9	4	4	1	0.2	3.121928094887362	GROUP_CONSISTENT	ambiguous-transcription	151,483	false	false	true	
x018872 x037858	2	8	8	7	4	4	1	0.25	2.75	GROUP_CONSISTENT	ambiguous-transcription	151,367	false	false	true	
x018872 x037859	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	151,339	false	false	true	
x018872 x037860	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	151,238	false	false	true	
x018873 x000104	2	5	5	5	4	4	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	138,238	false	false	true	
x018873 x037856	2	6	6	6	3	3	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	138,504	false	false	true	
x018873 x037857	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	138,483	false	false	true	
x018873 x037858	2	5	5	4	3	3	1	0.4	1.9219280948873623	GROUP_CONSISTENT	ambiguous-transcription	138,367	false	false	true	
x018873 x037859	2	8	8	8	4	4	1	0.125	3	GROUP_CONSISTENT	ambiguous-transcription	138,339	false	false	true	
x018873 x037860	2	6	6	6	4	4	1	0.16666666666666666	2.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	138,238	false	false	true	
x018873 x037862	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	138,125	false	false	true	
