checkpoint_n	vocabulary_size	hapax_count	dis_legomena_count	tris_legomena_count	hapax_fraction_of_types	hapax_fraction_of_tokens	dis_fraction_of_types	dis_fraction_of_tokens
100	95	91	3	1	0.95789473684210524	0.91000000000000003	0.063157894736842107	0.059999999999999998
200	178	160	15	2	0.898876404494382	0.80000000000000004	0.16853932584269662	0.14999999999999999
500	400	339	37	15	0.84750000000000003	0.67800000000000005	0.185	0.14799999999999999
1000	708	566	84	20	0.79943502824858759	0.56599999999999995	0.23728813559322035	0.16800000000000001
2000	1213	954	121	42	0.78647980214344604	0.47699999999999998	0.19950535861500412	0.121
4000	2132	1631	238	76	0.76500938086303938	0.40775	0.22326454033771106	0.11899999999999999
8000	3692	2779	407	146	0.75270855904658718	0.34737499999999999	0.22047670639219935	0.10174999999999999
16000	5976	4223	758	311	0.7066599732262383	0.26393749999999999	0.25368139223560909	0.094750000000000001
32000	9579	6371	1373	509	0.66510074120471863	0.19909375000000001	0.28666875456728258	0.0858125
43713	11528	7387	1782	639	0.64078764746703676	0.16898863038455381	0.30916030534351147	0.081531809759110563
