checkpoint_n	observed	null_mean	null_sd	effect	empirical_p
100	95	94.180000000000007	2.4140422531513406	0.3396792243091637	0.48514851485148514
200	178	179.19	4.1658012434584535	-0.28565933189171028	0.64356435643564358
500	400	403.75999999999999	8.1499938650283639	-0.46135004053612316	0.71287128712871284
1000	708	719.27999999999997	12.49006004789409	-0.90311815609740465	0.82178217821782173
2000	1213	1249.1900000000001	18.439465827404	-1.9626381988905512	0.98019801980198018
4000	2132	2133.4400000000001	25.486984913873197	-0.056499425289659386	0.54455445544554459
8000	3692	3569.7399999999998	34.706950312581483	3.522637365106672	0.0099009900990099011
16000	5976	5867	33.860301239061648	3.219108986374176	0.0099009900990099011
32000	9579	9404.6100000000006	33.793755340299235	5.160420860123776	0.0099009900990099011
43713	11528	11528	0	0	1
