segment_count	segment	checkpoint_n	vocabulary_size	heaps_beta	beta_effective	new_type_rate
4	0	100	95	0.82451063568776706	0	0.42359077598828698
4	0	200	178	0.82451063568776706	0.90587782263545091	0.42359077598828698
4	0	500	400	0.82451063568776706	0.88365075477714161	0.42359077598828698
4	0	1000	708	0.82451063568776706	0.82374936030827284	0.42359077598828698
4	0	2000	1213	0.82451063568776706	0.7767582850375131	0.42359077598828698
4	0	4000	2132	0.82451063568776706	0.81362788763866511	0.42359077598828698
4	0	8000	3692	0.82451063568776706	0.79219511488659944	0.42359077598828698
4	0	10928	4629	0.82451063568776706	0.72517520325515783	0.42359077598828698
4	1	100	93	0.81781771259327973	0	0.40675329428989754
4	1	200	180	0.81781771259327973	0.95269428522164401	0.40675329428989754
4	1	500	393	0.81781771259327973	0.85218886737173105	0.40675329428989754
4	1	1000	693	0.81781771259327973	0.8183260398786073	0.40675329428989754
4	1	2000	1219	0.81781771259327973	0.81477086848299773	0.40675329428989754
4	1	4000	2065	0.81781771259327973	0.76044365568659555	0.40675329428989754
4	1	8000	3554	0.81781771259327973	0.78330189972187181	0.40675329428989754
4	1	10928	4445	0.81781771259327973	0.71726718508203258	0.40675329428989754
4	2	100	93	0.81424613590004302	0	0.39540629575402636
4	2	200	181	0.81424613590004302	0.96068707597517511	0.39540629575402636
4	2	500	390	0.81424613590004302	0.83777962731079592	0.39540629575402636
4	2	1000	707	0.81424613590004302	0.85823609105978849	0.39540629575402636
4	2	2000	1285	0.81424613590004302	0.86198623927184159	0.39540629575402636
4	2	4000	2125	0.81424613590004302	0.72569448183118468	0.39540629575402636
4	2	8000	3439	0.81424613590004302	0.69452627461436378	0.39540629575402636
4	2	10928	4321	0.81424613590004302	0.73201608384682748	0.39540629575402636
4	3	100	92	0.80946338938600526	0	0.37487418794034222
4	3	200	169	0.80946338938600526	0.8773174802251722	0.37487418794034222
4	3	500	381	0.80946338938600526	0.88716455588385545	0.37487418794034222
4	3	1000	689	0.80946338938600526	0.85471298521096906	0.37487418794034222
4	3	2000	1184	0.80946338938600526	0.78109319292465795	0.37487418794034222
4	3	4000	2021	0.80946338938600526	0.77140024075078595	0.37487418794034222
4	3	8000	3308	0.80946338938600526	0.7108899127915389	0.37487418794034222
4	3	10929	4097	0.80946338938600526	0.68566065457544223	0.37487418794034222
8	0	100	95	0.8339704378031515	0	0.49633967789165445
8	0	200	178	0.8339704378031515	0.90587782263545091	0.49633967789165445
8	0	500	400	0.8339704378031515	0.88365075477714161	0.49633967789165445
8	0	1000	708	0.8339704378031515	0.82374936030827284	0.49633967789165445
8	0	2000	1213	0.8339704378031515	0.7767582850375131	0.49633967789165445
8	0	4000	2132	0.8339704378031515	0.81362788763866511	0.49633967789165445
8	0	5464	2712	0.8339704378031515	0.77151676104618427	0.49633967789165445
