checkpoint_n	vocabulary_size	type_token_ratio	hapax_count	dis_count	tri_count	beta_effective
100	95	0.94999999999999996	91	3	1	0
200	178	0.89000000000000001	160	15	2	0.90587782263545091
500	400	0.80000000000000004	339	37	15	0.88365075477714161
1000	708	0.70799999999999996	566	84	20	0.82374936030827284
2000	1213	0.60650000000000004	954	121	42	0.7767582850375131
4000	2132	0.53300000000000003	1631	238	76	0.81362788763866511
8000	3692	0.46150000000000002	2779	407	146	0.79219511488659944
16000	5976	0.3735	4223	758	311	0.69477759514346105
32000	9579	0.29934375000000002	6371	1373	509	0.68069490550201395
43713	11528	0.26372017477638232	7387	1782	639	0.59377984451953381
